rank,CHP_ID,Chinese_herbal_pieces,ultra_high_count,total_compounds,effective_count,high_quality_count,ultra_high_count
65,CHP01110,附子,69.0,81.0,81.0,70.0,69.0
66,CHP02495,罗汉果,69.0,102.0,102.0,69.0,69.0
67,CHP00032,八角莲,68.0,138.0,138.0,69.0,68.0
68,CHP03683,生姜,66.0,75.0,75.0,66.0,66.0
69,CHP01146,干姜,66.0,106.0,106.0,68.0,66.0
70,CHP01246,瓜蒌,66.0,90.0,90.0,69.0,66.0
71,CHP05646,紫金牛,66.0,122.0,122.0,77.0,66.0
72,CHP00142,白术,65.0,118.0,118.0,68.0,65.0
73,CHP01623,槐花,65.0,112.0,112.0,66.0,65.0
74,CHP00146,白头翁,64.0,93.0,93.0,65.0,64.0
75,CHP03352,乳香,64.0,77.0,77.0,64.0,64.0
76,CHP00884,杜仲,63.0,85.0,85.0,63.0,63.0
77,CHP03102,枇杷叶,63.0,89.0,89.0,63.0,63.0
78,CHP03630,商陆,62.0,93.0,93.0,62.0,62.0
79,CHP02155,款冬花,61.0,79.0,79.0,62.0,61.0
80,CHP00303,苍术,61.0,111.0,111.0,61.0,61.0
81,CHP01045,风藤,61.0,89.0,89.0,61.0,61.0
82,CHP00039,巴戟天,60.0,153.0,153.0,62.0,60.0
83,CHP00201,半边莲,60.0,96.0,96.0,60.0,60.0
84,CHP03049,女贞子,60.0,107.0,107.0,60.0,60.0
85,CHP02119,苦楝皮,59.0,87.0,87.0,60.0,59.0
86,CHP01983,荆芥,59.0,81.0,81.0,59.0,59.0
87,CHP00519,大戟,58.0,107.0,107.0,58.0,58.0
88,CHP00333,茶叶,58.0,125.0,125.0,60.0,58.0
89,CHP01508,厚朴,58.0,121.0,121.0,60.0,58.0
90,CHP00779,丁香,58.0,137.0,137.0,60.0,58.0
91,CHP04231,土槿皮,57.0,71.0,71.0,57.0,57.0
92,CHP01818,蒺藜,57.0,75.0,75.0,57.0,57.0
93,CHP00422,穿心莲,57.0,100.0,100.0,57.0,57.0
94,CHP03193,前胡,57.0,85.0,85.0,58.0,57.0
95,CHP03397,三七,56.0,117.0,117.0,56.0,56.0
96,CHP00150,白薇,56.0,85.0,85.0,58.0,56.0
97,CHP05417,长春花,56.0,95.0,95.0,56.0,56.0
98,CHP00212,半枝莲,56.0,113.0,113.0,56.0,56.0
99,CHP00857,独活,55.0,108.0,108.0,56.0,55.0
100,CHP00431,椿皮,55.0,95.0,95.0,57.0,55.0
101,CHP01681,黄荆子,54.0,103.0,103.0,56.0,54.0
102,CHP00252,萹蓄,54.0,73.0,73.0,54.0,54.0
103,CHP01374,黑豆,53.0,120.0,120.0,58.0,53.0
104,CHP01801,鸡血藤,53.0,96.0,96.0,53.0,53.0
105,CHP00885,杜仲叶,52.0,73.0,73.0,54.0,52.0
106,CHP03202,羌活,52.0,102.0,102.0,56.0,52.0
107,CHP00114,白蔹,51.0,102.0,102.0,51.0,51.0
108,CHP03323,人参叶,51.0,75.0,75.0,51.0,51.0
109,CHP01130,甘遂,51.0,63.0,63.0,51.0,51.0
110,CHP05992,人中白,50.0,83.0,83.0,55.0,50.0
111,CHP02172,辣椒,50.0,108.0,108.0,52.0,50.0
112,CHP00641,党参,50.0,65.0,65.0,50.0,50.0
113,CHP00322,草乌,49.0,79.0,79.0,50.0,49.0
114,CHP02019,菊花,49.0,81.0,81.0,50.0,49.0
115,CHP04065,桃仁,49.0,72.0,72.0,49.0,49.0
116,CHP00048,菝葜,49.0,90.0,90.0,49.0,49.0
117,CHP03341,肉苁蓉,49.0,64.0,64.0,51.0,49.0
118,CHP00135,白前,48.0,78.0,78.0,48.0,48.0
119,CHP02023,菊苣,48.0,70.0,70.0,48.0,48.0
120,CHP03198,茜草,48.0,74.0,74.0,48.0,48.0
121,CHP05675,紫杉,48.0,102.0,102.0,48.0,48.0
122,CHP00326,侧柏叶,47.0,90.0,90.0,48.0,47.0
123,CHP00088,白花菜子,47.0,94.0,94.0,48.0,47.0
124,CHP00612,代代花,46.0,96.0,96.0,48.0,46.0
125,CHP02842,牡丹皮,46.0,67.0,67.0,46.0,46.0
126,CHP00258,扁豆,46.0,93.0,93.0,51.0,46.0
127,CHP01260,关黄柏,46.0,70.0,70.0,46.0,46.0
128,CHP01058,蜂斗菜,46.0,94.0,94.0,46.0,46.0
129,CHP00137,白屈菜,45.0,58.0,58.0,46.0,45.0
130,CHP00824,冬凌草,45.0,50.0,50.0,45.0,45.0
131,CHP03444,沙棘,45.0,90.0,90.0,47.0,45.0
132,CHP00241,萆薢,45.0,74.0,74.0,45.0,45.0
133,CHP00415,川木通,45.0,96.0,96.0,45.0,45.0
134,CHP05782,蟾酥,45.0,71.0,71.0,45.0,45.0
135,CHP01871,降香,45.0,94.0,94.0,47.0,45.0
136,CHP02568,马兜铃,44.0,85.0,85.0,48.0,44.0
137,CHP01514,胡黄连,44.0,74.0,74.0,47.0,44.0
138,CHP02546,麻黄,44.0,88.0,88.0,46.0,44.0
139,CHP03698,十大功劳叶,44.0,67.0,67.0,45.0,44.0
140,CHP00238,荜茇,43.0,75.0,75.0,45.0,43.0
141,CHP01187,葛花,43.0,63.0,63.0,43.0,43.0
142,CHP04458,西洋参,42.0,49.0,49.0,42.0,42.0
143,CHP05157,益母草,42.0,69.0,69.0,42.0,42.0
144,CHP00819,冬葵果,42.0,80.0,80.0,44.0,42.0
145,CHP03082,佩兰,42.0,59.0,59.0,43.0,42.0
146,CHP01561,花椒,42.0,83.0,83.0,43.0,42.0
147,CHP00455,刺桐,41.0,104.0,104.0,42.0,41.0
148,CHP03175,千层塔,41.0,65.0,65.0,41.0,41.0
149,CHP00124,白茅根,41.0,59.0,59.0,42.0,41.0
150,CHP00672,地耳草,40.0,98.0,98.0,41.0,40.0
151,CHP02837,墨旱莲,40.0,53.0,53.0,40.0,40.0
152,CHP02400,龙胆草,40.0,65.0,65.0,40.0,40.0
153,CHP01408,红参,39.0,53.0,53.0,39.0,39.0
154,CHP03808,鼠尾草,39.0,59.0,59.0,39.0,39.0
155,CHP00228,北豆根,39.0,72.0,72.0,39.0,39.0
156,CHP00300,苍耳子,39.0,71.0,71.0,40.0,39.0
157,CHP02405,龙葵,39.0,55.0,55.0,39.0,39.0
158,CHP04466,豨莶草,39.0,56.0,56.0,39.0,39.0
159,CHP04525,仙茅,38.0,60.0,60.0,38.0,38.0
160,CHP02443,芦荟,38.0,65.0,65.0,38.0,38.0
161,CHP00520,大蓟,38.0,69.0,69.0,38.0,38.0
162,CHP01127,甘松,38.0,50.0,50.0,38.0,38.0
163,CHP00240,荜澄茄,38.0,62.0,62.0,38.0,38.0
164,CHP00557,大蒜,38.0,80.0,80.0,38.0,38.0
165,CHP00456,刺五加,38.0,53.0,53.0,39.0,38.0
166,CHP03609,山茱萸,38.0,71.0,71.0,39.0,38.0
167,CHP00957,鹅不食草,38.0,49.0,49.0,38.0,38.0
168,CHP02056,决明子,37.0,56.0,56.0,37.0,37.0
169,CHP00775,丁公藤,37.0,60.0,60.0,37.0,37.0
170,CHP04556,香附,37.0,52.0,52.0,37.0,37.0
171,CHP02566,马齿苋,37.0,64.0,64.0,37.0,37.0
172,CHP01543,槲寄生,36.0,61.0,61.0,36.0,36.0
173,CHP00424,垂盆草,36.0,67.0,67.0,37.0,36.0
174,CHP01207,钩吻,36.0,77.0,77.0,37.0,36.0
175,CHP00361,陈皮,36.0,103.0,103.0,37.0,36.0
176,CHP02606,麦冬,36.0,70.0,70.0,36.0,36.0
177,CHP02901,木通,36.0,62.0,62.0,36.0,36.0
178,CHP02808,绵萆薢,36.0,53.0,53.0,36.0,36.0
179,CHP02297,连钱草,36.0,61.0,61.0,36.0,36.0
180,CHP00356,车前子,35.0,42.0,42.0,35.0,35.0
181,CHP00844,豆蔻,35.0,66.0,66.0,36.0,35.0
182,CHP00384,赤小豆,35.0,52.0,52.0,35.0,35.0
183,CHP01245,骨碎补,35.0,37.0,37.0,35.0,35.0
184,CHP01999,九里香,35.0,104.0,104.0,35.0,35.0
185,CHP01771,藿香,35.0,72.0,72.0,36.0,35.0
186,CHP01964,金樱子,35.0,45.0,45.0,35.0,35.0
187,CHP03663,射干,35.0,63.0,63.0,35.0,35.0
188,CHP02585,马钱子,35.0,39.0,39.0,35.0,35.0
189,CHP02125,苦木,34.0,62.0,62.0,35.0,34.0
190,CHP02037,蒟蒻薯,34.0,71.0,71.0,34.0,34.0
191,CHP00673,地枫皮,34.0,56.0,56.0,34.0,34.0
192,CHP03643,蛇床子,34.0,55.0,55.0,34.0,34.0
193,CHP01228,枸骨叶,34.0,44.0,44.0,34.0,34.0
194,CHP01745,黄药子,33.0,64.0,64.0,33.0,33.0
195,CHP00093,白花蛇舌草,33.0,46.0,46.0,33.0,33.0
196,CHP05805,蜂胶,33.0,83.0,83.0,33.0,33.0
197,CHP01630,黄柏,33.0,54.0,54.0,33.0,33.0
198,CHP03342,肉豆蔻,33.0,57.0,57.0,33.0,33.0
199,CHP03461,砂仁,33.0,64.0,64.0,33.0,33.0
200,CHP04075,藤黄,33.0,96.0,96.0,37.0,33.0
201,CHP02406,龙葵根,32.0,48.0,48.0,33.0,32.0
202,CHP01382,黑老虎,32.0,48.0,48.0,32.0,32.0
203,CHP04054,唐松草,32.0,68.0,68.0,32.0,32.0
204,CHP03192,牵牛子,31.0,39.0,39.0,32.0,31.0
205,CHP03372,赛莨菪,31.0,44.0,44.0,31.0,31.0
206,CHP04326,文殊兰,31.0,60.0,60.0,32.0,31.0
207,CHP03500,山豆根,31.0,52.0,52.0,31.0,31.0
208,CHP00989,番茄,31.0,53.0,53.0,31.0,31.0
209,CHP01065,凤尾草,30.0,56.0,56.0,30.0,30.0
210,CHP02621,曼陀罗,30.0,44.0,44.0,30.0,30.0
211,CHP00470,翠雀花,30.0,52.0,52.0,30.0,30.0
212,CHP01222,狗牙花,30.0,45.0,45.0,30.0,30.0
213,CHP02904,木香,30.0,42.0,42.0,31.0,30.0
214,CHP00350,常山,30.0,67.0,67.0,30.0,30.0
215,CHP05185,银杏,30.0,42.0,42.0,30.0,30.0
216,CHP00106,白蜡树皮,29.0,82.0,82.0,32.0,29.0
217,CHP02618,满山红,29.0,43.0,43.0,31.0,29.0
218,CHP05283,玉兰,29.0,44.0,44.0,29.0,29.0
219,CHP02750,玫瑰花,29.0,49.0,49.0,30.0,29.0
220,CHP02631,蔓荆子,29.0,38.0,38.0,29.0,29.0
221,CHP00746,滇茜草,29.0,31.0,31.0,29.0,29.0
222,CHP00187,败酱草,29.0,70.0,70.0,30.0,29.0
223,CHP01011,防己,29.0,41.0,41.0,30.0,29.0
224,CHP01973,筋骨草,29.0,39.0,39.0,29.0,29.0
225,CHP02063,开口箭,29.0,50.0,50.0,29.0,29.0
226,CHP02030,橘红,29.0,52.0,52.0,29.0,29.0
227,CHP03979,苏木,29.0,50.0,50.0,30.0,29.0
228,CHP01367,核桃仁,29.0,58.0,58.0,29.0,29.0
229,CHP04389,吴茱萸,29.0,56.0,56.0,30.0,29.0
230,CHP03771,柿蒂,28.0,39.0,39.0,28.0,28.0
231,CHP04306,威灵仙,28.0,40.0,40.0,28.0,28.0
232,CHP05051,野菊花,28.0,54.0,54.0,28.0,28.0
233,CHP04083,天冬,28.0,54.0,54.0,30.0,28.0
234,CHP01007,防风,28.0,38.0,38.0,29.0,28.0
235,CHP01968,金盏菊,28.0,44.0,44.0,28.0,28.0
236,CHP02803,密蒙花,28.0,35.0,35.0,28.0,28.0
237,CHP01519,胡萝卜子,27.0,43.0,43.0,27.0,27.0
238,CHP06090,茯苓,27.0,30.0,30.0,27.0,27.0
239,CHP04765,薤白,27.0,40.0,40.0,28.0,27.0
240,CHP01723,黄芩,27.0,46.0,46.0,27.0,27.0
241,CHP00595,大叶糖胶树,27.0,45.0,45.0,27.0,27.0
242,CHP01185,葛根,27.0,43.0,43.0,27.0,27.0
243,CHP00972,儿茶,27.0,41.0,41.0,27.0,27.0
244,CHP01864,姜黄,26.0,48.0,48.0,26.0,26.0
245,CHP03704,石菖蒲,26.0,45.0,45.0,27.0,26.0
246,CHP01834,夹竹桃,26.0,58.0,58.0,27.0,26.0
247,CHP02323,两面针,26.0,43.0,43.0,26.0,26.0
248,CHP02656,猫须草,26.0,49.0,49.0,26.0,26.0
249,CHP02161,昆明山海棠,26.0,44.0,44.0,26.0,26.0
250,CHP01091,佛手,26.0,51.0,51.0,29.0,26.0
251,CHP01073,凤仙透骨草,26.0,46.0,46.0,28.0,26.0
252,CHP03104,啤酒花,26.0,54.0,54.0,27.0,26.0
253,CHP01096,浮萍,26.0,38.0,38.0,27.0,26.0
254,CHP05255,余甘子,26.0,48.0,48.0,26.0,26.0
255,CHP00797,东北雷公藤,25.0,38.0,38.0,27.0,25.0
256,CHP01351,诃子,25.0,34.0,34.0,25.0,25.0
257,CHP01580,华东膜蕨,25.0,25.0,25.0,25.0,25.0
258,CHP02416,龙须藤,25.0,28.0,28.0,25.0,25.0
259,CHP03673,肾茶,25.0,27.0,27.0,25.0,25.0
260,CHP00694,地锦草,25.0,38.0,38.0,25.0,25.0
261,CHP02604,买麻藤,25.0,39.0,39.0,25.0,25.0
262,CHP05377,泽漆,25.0,39.0,39.0,25.0,25.0
263,CHP02676,毛萼香茶菜,25.0,39.0,39.0,25.0,25.0
264,CHP01334,海带,25.0,65.0,65.0,27.0,25.0
265,CHP01809,积雪草,24.0,41.0,41.0,24.0,24.0
266,CHP05489,止泻木皮,24.0,43.0,43.0,24.0,24.0
267,CHP00327,侧柏枝节,24.0,42.0,42.0,24.0,24.0
268,CHP05376,泽兰,24.0,45.0,45.0,24.0,24.0
269,CHP00444,刺果苏木,24.0,36.0,36.0,24.0,24.0
270,CHP00071,白饭豆,24.0,51.0,51.0,24.0,24.0
271,CHP06127,树舌,24.0,46.0,46.0,24.0,24.0
272,CHP01795,鸡屎藤,24.0,35.0,35.0,24.0,24.0
273,CHP03491,山慈菇,24.0,50.0,50.0,24.0,24.0
274,CHP03179,千金藤,24.0,41.0,41.0,24.0,24.0
275,CHP00406,楮实子,24.0,45.0,45.0,26.0,24.0
276,CHP02219,莨菪叶,24.0,38.0,38.0,26.0,24.0
277,CHP04174,通草,24.0,24.0,24.0,24.0,24.0
278,CHP03373,三白草,24.0,34.0,34.0,24.0,24.0
279,CHP00140,白首乌,24.0,40.0,40.0,25.0,24.0
280,CHP03838,水飞蓟,24.0,38.0,38.0,24.0,24.0
281,CHP02756,梅花,23.0,64.0,64.0,26.0,23.0
282,CHP01114,覆盆子,23.0,52.0,52.0,26.0,23.0
283,CHP02272,藜芦,23.0,38.0,38.0,23.0,23.0
284,CHP02209,狼毒,23.0,36.0,36.0,23.0,23.0
285,CHP01042,风轮菜,23.0,40.0,40.0,23.0,23.0
286,CHP03431,桑叶,23.0,42.0,42.0,23.0,23.0
287,CHP01477,红芪,23.0,47.0,47.0,23.0,23.0
288,CHP01356,合欢皮,23.0,35.0,35.0,24.0,23.0
289,CHP03716,石斛,23.0,74.0,74.0,23.0,23.0
290,CHP06091,茯苓皮,23.0,39.0,39.0,24.0,23.0
291,CHP01340,海南粗榧,23.0,36.0,36.0,23.0,23.0
292,CHP05380,泽泻,23.0,24.0,24.0,23.0,23.0
293,CHP02562,马鞭草,23.0,42.0,42.0,25.0,23.0
294,CHP01923,金莲花,22.0,38.0,38.0,22.0,22.0
295,CHP04216,土贝母,22.0,24.0,24.0,22.0,22.0
296,CHP03111,平贝母,22.0,24.0,24.0,22.0,22.0
297,CHP03182,千里光,22.0,35.0,35.0,22.0,22.0
298,CHP02122,苦楝子,22.0,31.0,31.0,23.0,22.0
299,CHP04173,葶苈子,22.0,39.0,39.0,24.0,22.0
300,CHP03398,三七花,22.0,24.0,24.0,22.0,22.0
301,CHP01656,黄花夹竹桃,22.0,37.0,37.0,22.0,22.0
302,CHP02095,苦地丁,22.0,27.0,27.0,22.0,22.0
303,CHP04828,旋覆花,22.0,28.0,28.0,22.0,22.0
304,CHP03591,山药,22.0,25.0,25.0,22.0,22.0
305,CHP01344,海藻,22.0,38.0,38.0,22.0,22.0
306,CHP02638,芒果,21.0,36.0,36.0,21.0,21.0
307,CHP01780,鸡骨草,21.0,47.0,47.0,22.0,21.0
308,CHP00362,柽柳,21.0,53.0,53.0,22.0,21.0
309,CHP00246,蓖麻子,21.0,37.0,37.0,22.0,21.0
310,CHP00099,白及,21.0,78.0,78.0,21.0,21.0
311,CHP01180,藁本,21.0,37.0,37.0,22.0,21.0
312,CHP00642,刀豆,21.0,25.0,25.0,21.0,21.0
313,CHP01603,华泽兰,21.0,34.0,34.0,22.0,21.0
314,CHP05104,野芝麻,21.0,43.0,43.0,21.0,21.0
315,CHP04313,尾叶香茶菜,21.0,35.0,35.0,21.0,21.0
316,CHP00059,白菖,21.0,61.0,61.0,23.0,21.0
317,CHP04473,细葛缕子,20.0,30.0,30.0,20.0,20.0
318,CHP04047,檀香,20.0,27.0,27.0,20.0,20.0
319,CHP04519,夏枯草,20.0,23.0,23.0,21.0,20.0
320,CHP06001,麝香,20.0,33.0,33.0,20.0,20.0
321,CHP04842,雪山林,20.0,39.0,39.0,20.0,20.0
322,CHP00313,草苁蓉,20.0,36.0,36.0,20.0,20.0
323,CHP02528,绿豆,20.0,38.0,38.0,20.0,20.0
324,CHP00816,冬瓜子,20.0,39.0,39.0,20.0,20.0
325,CHP00678,地骨皮,20.0,34.0,34.0,22.0,20.0
326,CHP02547,麻黄根,20.0,21.0,21.0,20.0,20.0
327,CHP02131,苦树皮,19.0,58.0,58.0,21.0,19.0
328,CHP03649,蛇菰,19.0,19.0,19.0,19.0,19.0
329,CHP02357,凌霄花,19.0,33.0,33.0,20.0,19.0
330,CHP04095,天南星,19.0,42.0,42.0,20.0,19.0
331,CHP02896,木棉花,19.0,47.0,47.0,20.0,19.0
332,CHP00076,白附子,19.0,58.0,58.0,19.0,19.0
333,CHP01836,荚蒾,19.0,25.0,25.0,19.0,19.0
334,CHP04006,酸枣仁,19.0,27.0,27.0,19.0,19.0
335,CHP02412,龙舌兰,19.0,28.0,28.0,19.0,19.0
336,CHP04359,乌药,19.0,19.0,19.0,19.0,19.0
337,CHP01272,贯叶连翘,19.0,32.0,32.0,20.0,19.0
338,CHP05676,紫苏,19.0,38.0,38.0,20.0,19.0
339,CHP03204,枪刀药,19.0,28.0,28.0,19.0,19.0
340,CHP03434,桑枝,19.0,35.0,35.0,20.0,19.0
341,CHP01486,红藤,19.0,29.0,29.0,19.0,19.0
342,CHP02657,猫眼草,19.0,30.0,30.0,19.0,19.0
343,CHP00281,菠菜,18.0,21.0,21.0,18.0,18.0
344,CHP02537,绿绒蒿,18.0,30.0,30.0,18.0,18.0
345,CHP01364,荷叶,18.0,31.0,31.0,19.0,18.0
346,CHP03178,千斤拔,18.0,37.0,37.0,18.0,18.0
347,CHP02048,卷柏,18.0,25.0,25.0,18.0,18.0
348,CHP05478,栀子,18.0,48.0,48.0,18.0,18.0
349,CHP02985,牛蒡子,18.0,21.0,21.0,18.0,18.0
350,CHP00186,柏子仁,18.0,47.0,47.0,22.0,18.0
351,CHP04807,绣线菊,18.0,33.0,33.0,18.0,18.0
352,CHP01682,黄精,18.0,33.0,33.0,19.0,18.0
353,CHP03997,酸浆,18.0,35.0,35.0,18.0,18.0
354,CHP03185,千年健,18.0,25.0,25.0,18.0,18.0
355,CHP00630,淡豆豉,18.0,23.0,23.0,18.0,18.0
356,CHP01350,旱芹,17.0,27.0,27.0,17.0,17.0
357,CHP01357,何首乌,17.0,34.0,34.0,18.0,17.0
358,CHP00108,白兰花,17.0,63.0,63.0,17.0,17.0
359,CHP01326,桂枝,17.0,57.0,57.0,17.0,17.0
360,CHP01424,红厚壳,17.0,40.0,40.0,18.0,17.0
361,CHP01414,红豆蔻,17.0,42.0,42.0,19.0,17.0
362,CHP05186,银杏叶,17.0,44.0,44.0,18.0,17.0
363,CHP02327,两头尖,17.0,26.0,26.0,17.0,17.0
364,CHP01824,荠菜,17.0,51.0,51.0,18.0,17.0
365,CHP01161,高良姜,17.0,51.0,51.0,17.0,17.0
366,CHP01992,景天三七,17.0,22.0,22.0,17.0,17.0
367,CHP00386,赤杨,17.0,31.0,31.0,17.0,17.0
368,CHP00872,独一味,17.0,26.0,26.0,17.0,17.0
369,CHP02939,南蛇藤根,17.0,23.0,23.0,17.0,17.0
370,CHP00421,穿龙薯蓣,17.0,37.0,37.0,18.0,17.0
371,CHP03383,三尖杉,17.0,37.0,37.0,17.0,17.0
372,CHP02507,萝芙木,17.0,28.0,28.0,17.0,17.0
373,CHP00316,草果,16.0,29.0,29.0,16.0,16.0
374,CHP00441,刺柏,16.0,37.0,37.0,17.0,16.0
375,CHP04293,王不留行,16.0,19.0,19.0,16.0,16.0
376,CHP02541,葎草,16.0,31.0,31.0,16.0,16.0
377,CHP05687,紫菀,16.0,28.0,28.0,16.0,16.0
378,CHP01931,金钱草,16.0,27.0,27.0,16.0,16.0
379,CHP05124,夜来香,16.0,17.0,17.0,16.0,16.0
380,CHP01608,化橘红,16.0,33.0,33.0,16.0,16.0
381,CHP00791,定木香,16.0,22.0,22.0,16.0,16.0
382,CHP00660,稻草,16.0,27.0,27.0,16.0,16.0
383,CHP00987,番木瓜,16.0,24.0,24.0,16.0,16.0
384,CHP01644,黄瓜,16.0,22.0,22.0,16.0,16.0
385,CHP05515,重楼,16.0,31.0,31.0,16.0,16.0
386,CHP03439,沙参,16.0,44.0,44.0,16.0,16.0
387,CHP01756,茴芹,16.0,25.0,25.0,16.0,16.0
388,CHP01741,黄杨,16.0,25.0,25.0,16.0,16.0
389,CHP02869,木蝴蝶,16.0,22.0,22.0,16.0,16.0
390,CHP02909,木竹子,16.0,64.0,64.0,17.0,16.0
391,CHP01690,黄连,16.0,24.0,24.0,16.0,16.0
392,CHP01933,金荞麦,15.0,23.0,23.0,15.0,15.0
393,CHP02180,莱菔子,15.0,34.0,34.0,17.0,15.0
394,CHP02367,琉璃草,15.0,27.0,27.0,15.0,15.0
395,CHP03869,水流豆,15.0,32.0,32.0,15.0,15.0
396,CHP02391,六棱菊,15.0,28.0,28.0,15.0,15.0
397,CHP03871,水龙骨,15.0,25.0,25.0,15.0,15.0
398,CHP05360,芸香,15.0,42.0,42.0,15.0,15.0
399,CHP05962,牛黄,15.0,19.0,19.0,15.0,15.0
400,CHP02543,麻风树,15.0,25.0,25.0,15.0,15.0
401,CHP05427,长管香茶菜,15.0,22.0,22.0,15.0,15.0
402,CHP02353,灵香草,15.0,26.0,26.0,15.0,15.0
403,CHP01916,金鸡纳,15.0,24.0,24.0,15.0,15.0
404,CHP03218,秦艽,15.0,26.0,26.0,15.0,15.0
405,CHP00726,灯心草,15.0,37.0,37.0,17.0,15.0
406,CHP04106,天竺黄,15.0,26.0,26.0,19.0,15.0
407,CHP04008,算盘子,14.0,20.0,20.0,14.0,14.0
408,CHP04717,小通草,14.0,14.0,14.0,14.0,14.0
409,CHP00206,半边苏,14.0,35.0,35.0,14.0,14.0
410,CHP03328,忍冬藤,14.0,16.0,16.0,14.0,14.0
411,CHP03363,瑞香,14.0,19.0,19.0,14.0,14.0
412,CHP04975,羊踯躅,14.0,15.0,15.0,14.0,14.0
413,CHP03977,苏合香,14.0,21.0,21.0,14.0,14.0
414,CHP00020,桉叶,14.0,28.0,28.0,15.0,14.0
415,CHP00060,白车轴草,14.0,26.0,26.0,14.0,14.0
416,CHP03884,水茄,14.0,17.0,17.0,14.0,14.0
417,CHP02375,柳杉,14.0,21.0,21.0,14.0,14.0
