rank,CHP_ID,Chinese_herbal_pieces,adj_avg_score,total_compounds,effective_count,high_quality_count,ultra_high_count
421,CHP01620,槐,0.7990558260858929,13.0,13.0,8.0,8.0
422,CHP00670,地胆草,0.7987580374987768,10.0,10.0,6.0,6.0
423,CHP04259,菟丝子,0.7985971347607398,11.0,11.0,8.0,7.0
424,CHP01723,黄芩,0.7985449507138489,46.0,46.0,27.0,27.0
425,CHP03097,皮哨子,0.7984995686650358,5.0,5.0,3.0,3.0
426,CHP01260,关黄柏,0.7984908852496941,70.0,70.0,46.0,46.0
427,CHP04839,雪莲花,0.7981478442839668,4.0,4.0,3.0,3.0
428,CHP03162,漆大姑,0.7980986849982525,4.0,4.0,3.0,3.0
429,CHP04083,天冬,0.7979025887496178,54.0,54.0,30.0,28.0
430,CHP05646,紫金牛,0.7976833289392088,122.0,122.0,77.0,66.0
431,CHP02913,苜蓿,0.797410544373471,6.0,6.0,4.0,4.0
432,CHP04002,酸石榴,0.797379906109752,8.0,8.0,5.0,5.0
433,CHP01181,戈壁天门冬,0.7973299574987769,10.0,10.0,6.0,6.0
434,CHP05557,猪鬃草,0.7972874577768716,17.0,17.0,11.0,11.0
435,CHP01506,厚皮香,0.7972230311750316,7.0,7.0,4.0,4.0
436,CHP02342,裂果薯,0.7972038414805753,17.0,17.0,9.0,9.0
437,CHP03863,水苦荬,0.797152329373471,6.0,6.0,4.0,4.0
438,CHP05486,蜘蛛香,0.7969760364987769,10.0,10.0,6.0,6.0
439,CHP02785,猕猴桃根,0.7969500819983691,5.0,5.0,4.0,4.0
440,CHP04170,铁仔,0.7967705546135028,3.0,3.0,2.0,1.0
441,CHP01382,黑老虎,0.7966960099995783,48.0,48.0,32.0,32.0
442,CHP00472,打碗花,0.7966052769211951,3.0,3.0,2.0,2.0
443,CHP01327,桂竹香,0.7964390492288873,3.0,3.0,2.0,2.0
444,CHP01570,花生油,0.7963326438442719,3.0,3.0,2.0,2.0
445,CHP03099,枇杷核,0.796282524373471,6.0,6.0,4.0,4.0
446,CHP00119,白马骨,0.7958866280940733,11.0,11.0,7.0,7.0
447,CHP03344,肉桂,0.7958742403217914,21.0,21.0,13.0,13.0
448,CHP00573,大叶柴胡,0.7957965231566072,9.0,9.0,5.0,5.0
449,CHP03647,蛇根草,0.7957314424987768,10.0,10.0,6.0,6.0
450,CHP04951,燕麦,0.7953968169987768,10.0,10.0,6.0,5.0
451,CHP04984,杨梅,0.7953855705250282,9.0,9.0,6.0,6.0
452,CHP00313,草苁蓉,0.795263228477729,36.0,36.0,20.0,20.0
453,CHP03213,荞麦,0.7951496845823142,14.0,14.0,8.0,8.0
