InChIKey,SMILES
CKLJMWTZIZZHCS-UHFFFAOYSA-N,NC(CC(=O)O)C(=O)O
CLERMUXQFLMEID-UHFFFAOYSA-N,CC(C)CC(NC(=O)C(CC(N)=O)NC(=O)C(C)NC(=O)C(N)CCC(=O)O)C(O)CC(C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O
CLHGRAHPLPVFAC-UHFFFAOYSA-N,CC(C)CC(NC(=O)C(NC(=O)C(N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NC(Cc1ccccc1)C(O)C(=O)Nc1cc(-c2nn[nH]n2)cc(-c2nn[nH]n2)c1
CLMDKZSFODILEW-UHFFFAOYSA-N,COc1cccc(CC(=O)NC(CSC)C(=O)NC(Cc2ccccc2)C(O)C(=O)N2CSC(C)(C)C2C(=O)NC2c3ccccc3CC2O)c1
CMWTZPSULFXXJA-UHFFFAOYSA-N,COc1ccc2cc(C(C)C(=O)O)ccc2c1
CNIIGCLFLJGOGP-UHFFFAOYSA-N,c1ccc2c(CC3=NCCN3)cccc2c1
COCAUCFPFHUGAA-UHFFFAOYSA-N,NC1=NC2(c3cc(NC(=O)c4ccc(Cl)cn4)ccc3F)CC2CCS1
COCYGNDCWFKTMF-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2c(O)c(O)ccc12
COFJQEKKNHZDRJ-UHFFFAOYSA-N,CCCCC(NC(=O)C(CO)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NCCCCCCn1nnc2c1CCCCCC2(F)C(=O)NCCCCNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NC(C)CCCCN
CQKVNPXXMLGRSE-UHFFFAOYSA-N,NCCC1CN(C(=O)CC(O)C(CC2CCCCC2)NC(=O)C(Cc2cnc[nH]2)NC(=O)C(Cc2ccccc2)NS(=O)(=O)N2CCOCC2)CCO1
CQQMWBPWYUPVOC-UHFFFAOYSA-N,COCC1CCCN1C(=O)c1cc(C)cc(C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CN(S(=O)(=O)c3cccc(C)c3)CCN2)c1
CQRYARSYNCAZFO-UHFFFAOYSA-N,OCc1ccccc1O
CQXWWSJOBHMVPI-UHFFFAOYSA-N,C=CCC(NC(=O)C(Cc1ccccc1)NS(=O)(=O)N1CCNCC1)C(=O)NC(CC1CCCCC1)C(O)C(F)(F)C(=O)NCCN1CCOCC1
CQYCBPOPNRTYQV-UHFFFAOYSA-N,C=CCC(NC(=O)CNS(=O)(=O)N1CCOCC1)C(=O)NC(CC1CC=C(c2cccc3ccccc23)CC1)C(O)C(O)CC(C)C
CRJGESKKUOMBCT-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(O)C(CO)NC(C)=O
CRTPOZWNLFMWPB-UHFFFAOYSA-N,CCC(C)C(O)C(=O)NC(CC(C)C)C(=O)N(C)C(CCC(N)=O)C(=O)NC(CC(C)C)C(O)CC(=O)NC(C(=O)NCC(=O)N(C)C(Cc1ccccc1)C(=O)N1CCCC1C(=O)OC)C(C)CC
CSTWSEPSGWXLDX-UHFFFAOYSA-N,CCC(C)C(NC(=O)C(CC1CCCCC1)NC(=O)OC(C)(C)C)C(=O)NC(CC1CCCCC1)C(O)C(O)CC(C)C
CTMJCAZSOKTPFA-UHFFFAOYSA-N,CC1(C)SCN(C(=O)C(O)C(Cc2ccccc2)NC(=O)COc2ccccc2N)C1C(=O)NC1c2ccccc2CC1O
CTYRPMDGLDAWRQ-UHFFFAOYSA-N,O=S(=O)(O)Oc1ccccc1
CUFQBQOBLVLKRF-UHFFFAOYSA-N,Cc1ccccc1CNC(=O)C1N(C(=O)C(O)C(Cc2ccccc2)NC(=O)c2cccc(O)c2C)CSC1(C)C
CUYAHRWSXUTTQB-UHFFFAOYSA-N,CC(O)c1cn(CC(O)C(Cc2ccccc2)NC(=O)c2cc(C(=O)NC(C)c3ccc(F)cc3)cc(N(C)S(C)(=O)=O)c2)nn1
CVUGPAFCQJIYDT-UHFFFAOYSA-N,Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1
CVZBLBBXIMVEQC-UHFFFAOYSA-N,CCCCNC(=O)CC(O)C(CC(C)C)NC(=O)C(NC(=O)c1ccc(Oc2ccc(C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NCCCNc3ccnc4ccccc34)cc2)cc1)C(C)CC
CWWYMWDIYBJVLP-UHFFFAOYSA-N,CC(N)C(=O)NS(=O)(=O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O
CXAHXZIGOZKURI-UHFFFAOYSA-N,CCC(C)C(NC(=O)CC(O)C(CC1CCCCC1)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(Cc1ccccc1)NC(=O)C1CCCN1C(=O)C(Cc1cnc[nH]1)NC(=O)C1CCCN1)C(=O)NC(Cc1ccccc1)C(N)=O
CXQRKICWSCAUGW-UHFFFAOYSA-N,Cc1ccc(Nc2cc(-c3ccccc3)ncn2)cc1NS(C)(=O)=O
CZMRCDWAGMRECN-UHFFFAOYSA-N,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
DALHAGZEAZLVHK-UHFFFAOYSA-N,CCC(C)C(NC(=O)C(CC(O)C(CC(C)C)NC(=O)C(Cc1cnc[nH]1)N(C)C(=O)C(Cc1ccccc1)NC(=O)C1CCCN1C(=O)NC1C(O)OC(CO)C(O)C1O)C(C)C)C(=O)OCc1ccccn1
DBMJZOMNXBSRED-UHFFFAOYSA-N,CC(C)=CCCC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12
DBYZUQAQFHNTAT-UHFFFAOYSA-N,CCC(C)C1(NC(C)=O)CCN(C(CCc2ccccc2)C(=O)NC(Cc2cc(F)cc(F)c2)C(O)C2CC(OCc3cccnc3)CN2)C1=O
DCAYPVUWAIABOU-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC
DCJGHBWTJFHQCR-UHFFFAOYSA-N,CN(C)c1cccc(CNCC(O)C(Cc2ccccc2)NC(=O)C2(Cc3ccccc3)CN(Cc3ccccc3)C(=O)N2)c1
DCPCOKIYJYGMDN-UHFFFAOYSA-N,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(O)CO
DFEYYRMXOJXZRJ-UHFFFAOYSA-N,FCOC(C(F)(F)F)C(F)(F)F
DFJCTWMNTSWCRI-UHFFFAOYSA-N,Cc1cc2c(c(C)c1CCCl)C(=O)C(C)C2
DFVFTMTWCUHJBL-UHFFFAOYSA-N,CC(C)CC(N)C(O)CC(=O)O
DGEILIRHSDUTDK-UHFFFAOYSA-N,CCNc1cc(C(=O)NC(Cc2ccccc2)C(O)CNCc2cccc(C(F)(F)F)c2)c(F)c(N2CCCCS2(=O)=O)c1
DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(=O)O
DJUIWDIVXGOXBA-UHFFFAOYSA-N,COc1c(C)cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)c3c(F)cccc32)nc1C
DKBHUEXIOKTNTL-UHFFFAOYSA-N,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CC1CCCCC1)C(O)C1CC(C)(C)C(=O)O1
DLGJWSVWTWEWBJ-UHFFFAOYSA-N,CC(=O)NC1C(O)OC(CO)C(O)C1OC1OC(C(=O)O)=CC(O)C1O
