rank,CHP_ID,Chinese_herbal_pieces,ultra_high_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
1684,CHP02527,吕宋楸毛,0.0,6.0,6.0,0.0,0.0
1685,CHP02523,落新妇,0.0,18.0,18.0,0.0,0.0
1686,CHP05683,紫藤,0.0,1.0,1.0,0.0,0.0
1687,CHP05681,紫穗槐,0.0,2.0,2.0,1.0,0.0
1688,CHP05692,紫薇花,0.0,1.0,1.0,0.0,0.0
1689,CHP05694,紫薇叶,0.0,1.0,1.0,0.0,0.0
1690,CHP05766,鳖甲,0.0,2.0,2.0,1.0,0.0
1691,CHP05790,虫白蜡,0.0,4.0,4.0,0.0,0.0
1692,CHP05712,紫珠,0.0,1.0,1.0,0.0,0.0
1693,CHP05753,斑鸠,0.0,1.0,1.0,0.0,0.0
1694,CHP05796,灯心柳珊瑚,0.0,1.0,1.0,0.0,0.0
1695,CHP05795,地龙,0.0,1.0,1.0,0.0,0.0
1696,CHP00104,白菊花根,0.0,1.0,1.0,0.0,0.0
1697,CHP00086,白花菜,0.0,2.0,2.0,0.0,0.0
1698,CHP00038,巴豆霜,0.0,1.0,1.0,1.0,0.0
1699,CHP00004,阿育魏实,0.0,1.0,1.0,0.0,0.0
1700,CHP06156,红粉,0.0,1.0,1.0,0.0,0.0
1701,CHP06157,琥珀,0.0,1.0,1.0,0.0,0.0
