rank,CHP_ID,Chinese_herbal_pieces,max_score,total_compounds,effective_count,high_quality_count,ultra_high_count
787,CHP02510,萝藦,1.0,14.0,14.0,8.0,8.0
788,CHP02511,萝藦子,1.0,5.0,5.0,5.0,5.0
789,CHP02514,骆驼蓬,1.0,5.0,5.0,3.0,3.0
790,CHP02516,落地生根,1.0,5.0,5.0,4.0,4.0
791,CHP02517,落花生,1.0,24.0,24.0,14.0,13.0
792,CHP02484,轮环藤,1.0,15.0,15.0,8.0,8.0
793,CHP02488,罗布麻,1.0,12.0,12.0,10.0,10.0
794,CHP02489,罗布麻叶,1.0,25.0,25.0,12.0,12.0
795,CHP02494,罗锅底,1.0,9.0,9.0,5.0,5.0
796,CHP02495,罗汉果,1.0,102.0,102.0,69.0,67.0
797,CHP02498,罗汉松,1.0,18.0,18.0,10.0,10.0
798,CHP02500,罗汉松实,1.0,17.0,17.0,9.0,9.0
799,CHP02501,罗汉松叶,1.0,9.0,9.0,5.0,5.0
800,CHP02457,陆英,1.0,2.0,2.0,1.0,1.0
801,CHP02459,鹿葱,1.0,1.0,1.0,1.0,1.0
802,CHP02463,鹿角菜,1.0,7.0,7.0,4.0,4.0
803,CHP02469,鹿衔草,1.0,11.0,11.0,7.0,7.0
804,CHP02472,路路通,1.0,10.0,10.0,10.0,10.0
805,CHP02477,露蕊乌头,1.0,5.0,5.0,3.0,3.0
806,CHP02478,露水草,1.0,10.0,10.0,5.0,5.0
807,CHP02600,马银花,1.0,2.0,2.0,1.0,1.0
808,CHP02602,马醉木,1.0,14.0,14.0,10.0,10.0
809,CHP02604,买麻藤,1.0,39.0,39.0,25.0,25.0
810,CHP02606,麦冬,1.0,70.0,70.0,36.0,35.0
811,CHP02609,麦瓶草,1.0,1.0,1.0,1.0,1.0
812,CHP02612,麦芽,1.0,26.0,26.0,17.0,14.0
813,CHP02618,满山红,1.0,43.0,43.0,29.0,29.0
814,CHP02621,曼陀罗,1.0,44.0,44.0,30.0,30.0
815,CHP02568,马兜铃,1.0,85.0,85.0,45.0,44.0
816,CHP02583,马铃薯,1.0,5.0,5.0,3.0,2.0
817,CHP02585,马钱子,1.0,39.0,39.0,35.0,35.0
818,CHP02588,马桑,1.0,15.0,15.0,6.0,6.0
819,CHP02589,马桑根,1.0,1.0,1.0,1.0,1.0
820,CHP02591,马桑叶,1.0,4.0,4.0,4.0,4.0
821,CHP02597,马先蒿,1.0,2.0,2.0,1.0,1.0
822,CHP02547,麻黄根,1.0,21.0,21.0,20.0,20.0
823,CHP02554,麻牛膝,1.0,15.0,15.0,7.0,7.0
824,CHP02557,麻叶,1.0,13.0,13.0,9.0,8.0
825,CHP02562,马鞭草,1.0,42.0,42.0,22.0,22.0
826,CHP02563,马槟榔,1.0,2.0,2.0,2.0,2.0
827,CHP02566,马齿苋,1.0,64.0,64.0,39.0,36.0
828,CHP02567,马蛋果,1.0,2.0,2.0,1.0,1.0
829,CHP02537,绿绒蒿,1.0,30.0,30.0,18.0,17.0
830,CHP02540,绿玉树,1.0,2.0,2.0,1.0,1.0
831,CHP02541,葎草,1.0,31.0,31.0,16.0,16.0
832,CHP02543,麻风树,1.0,25.0,25.0,15.0,15.0
833,CHP02544,麻根,1.0,6.0,6.0,6.0,6.0
834,CHP02545,麻花,1.0,6.0,6.0,3.0,3.0
835,CHP02546,麻黄,1.0,88.0,88.0,44.0,42.0
836,CHP02716,毛桐,1.0,11.0,11.0,2.0,1.0
837,CHP02739,茅膏菜,1.0,3.0,3.0,2.0,2.0
838,CHP02745,茅莓,1.0,2.0,2.0,1.0,1.0
839,CHP02746,茅香,1.0,2.0,2.0,1.0,1.0
840,CHP02748,没药,1.0,291.0,291.0,251.0,248.0
841,CHP02749,玫瑰,1.0,3.0,3.0,1.0,1.0
842,CHP02750,玫瑰花,1.0,49.0,49.0,29.0,27.0
843,CHP02756,梅花,1.0,64.0,64.0,26.0,23.0
844,CHP02675,毛冬青,1.0,5.0,5.0,3.0,3.0
845,CHP02676,毛萼香茶菜,1.0,39.0,39.0,25.0,25.0
846,CHP02685,毛诃子,1.0,5.0,5.0,2.0,2.0
847,CHP02696,毛连菜,1.0,4.0,4.0,2.0,2.0
848,CHP02707,毛葡萄,1.0,1.0,1.0,1.0,1.0
849,CHP02713,毛蕊花,1.0,5.0,5.0,3.0,3.0
850,CHP02649,莽草根,1.0,2.0,2.0,1.0,1.0
851,CHP02656,猫须草,1.0,49.0,49.0,26.0,26.0
852,CHP02657,猫眼草,1.0,30.0,30.0,19.0,19.0
853,CHP02658,猫爪草,1.0,22.0,22.0,12.0,12.0
854,CHP02661,毛白杨,1.0,13.0,13.0,6.0,6.0
855,CHP02663,毛草龙,1.0,6.0,6.0,3.0,3.0
856,CHP02670,毛大丁草,1.0,9.0,9.0,2.0,2.0
857,CHP02623,曼陀罗叶,1.0,14.0,14.0,7.0,7.0
858,CHP02630,蔓荆,1.0,20.0,20.0,6.0,6.0
859,CHP02631,蔓荆子,1.0,38.0,38.0,29.0,29.0
860,CHP02633,蔓性千斤拔,1.0,3.0,3.0,1.0,1.0
861,CHP02638,芒果,1.0,36.0,36.0,21.0,20.0
862,CHP02644,芒萁骨,1.0,2.0,2.0,1.0,1.0
863,CHP05104,野芝麻,1.0,43.0,43.0,21.0,21.0
864,CHP05112,叶底珠,1.0,18.0,18.0,8.0,8.0
865,CHP05117,叶下珠,1.0,15.0,15.0,9.0,9.0
866,CHP05124,夜来香,1.0,17.0,17.0,16.0,16.0
867,CHP05132,一年蓬,1.0,22.0,22.0,13.0,13.0
868,CHP05139,一枝蒿,1.0,4.0,4.0,3.0,3.0
869,CHP05051,野菊花,1.0,54.0,54.0,28.0,27.0
870,CHP05061,野马追,1.0,17.0,17.0,11.0,10.0
871,CHP05066,野茉莉,1.0,12.0,12.0,12.0,12.0
872,CHP05070,野木瓜,1.0,6.0,6.0,1.0,1.0
873,CHP05087,野鸦椿,1.0,3.0,3.0,2.0,2.0
874,CHP05096,野罂粟,1.0,6.0,6.0,3.0,3.0
875,CHP05010,椰子瓤,1.0,2.0,2.0,1.0,1.0
876,CHP05012,野百合,1.0,3.0,3.0,2.0,2.0
877,CHP05030,野甘草,1.0,18.0,18.0,10.0,10.0
878,CHP04985,杨梅根,1.0,7.0,7.0,4.0,4.0
879,CHP04987,杨梅树皮,1.0,21.0,21.0,8.0,8.0
880,CHP04995,洋蓍草,1.0,7.0,7.0,3.0,3.0
881,CHP05005,药用倒提壶,1.0,3.0,3.0,2.0,2.0
882,CHP02861,木防己,1.0,13.0,13.0,5.0,5.0
883,CHP02863,木瓜,1.0,41.0,41.0,8.0,6.0
884,CHP02869,木蝴蝶,1.0,22.0,22.0,16.0,16.0
885,CHP02872,木姜子,1.0,8.0,8.0,5.0,5.0
886,CHP02878,木槿花,1.0,3.0,3.0,2.0,2.0
887,CHP02889,木榄,1.0,19.0,19.0,12.0,12.0
888,CHP02892,木麻黄,1.0,11.0,11.0,7.0,7.0
889,CHP02896,木棉花,1.0,47.0,47.0,19.0,19.0
890,CHP02837,墨旱莲,1.0,53.0,53.0,40.0,40.0
891,CHP02839,母菊,1.0,10.0,10.0,6.0,5.0
892,CHP02842,牡丹皮,1.0,67.0,67.0,45.0,45.0
893,CHP02844,牡蒿,1.0,2.0,2.0,2.0,2.0
894,CHP02847,木半夏根,1.0,3.0,3.0,2.0,2.0
895,CHP02855,木鳖子,1.0,14.0,14.0,7.0,6.0
896,CHP02803,密蒙花,1.0,35.0,35.0,28.0,28.0
897,CHP02808,绵萆薢,1.0,53.0,53.0,36.0,36.0
898,CHP02813,绵藤,1.0,1.0,1.0,1.0,1.0
899,CHP02814,绵枣儿,1.0,10.0,10.0,6.0,6.0
900,CHP02821,缅枣,1.0,4.0,4.0,4.0,4.0
901,CHP02824,明党参,1.0,4.0,4.0,2.0,1.0
902,CHP02769,美人蕉,1.0,4.0,4.0,2.0,2.0
903,CHP02781,迷迭香,1.0,10.0,10.0,5.0,5.0
904,CHP02784,猕猴桃,1.0,2.0,2.0,2.0,2.0
905,CHP02785,猕猴桃根,1.0,5.0,5.0,4.0,4.0
906,CHP02789,米皮糠,1.0,10.0,10.0,3.0,3.0
907,CHP02796,米仔兰,1.0,12.0,12.0,11.0,11.0
908,CHP02972,柠檬皮,1.0,6.0,6.0,3.0,2.0
909,CHP02985,牛蒡子,1.0,21.0,21.0,18.0,18.0
910,CHP02987,牛扁,1.0,3.0,3.0,3.0,3.0
911,CHP02997,牛耳枫子,1.0,6.0,6.0,4.0,4.0
912,CHP02940,南蛇藤果,1.0,24.0,24.0,12.0,12.0
913,CHP02941,南蛇藤叶,1.0,1.0,1.0,1.0,1.0
914,CHP02942,南酸枣,1.0,4.0,4.0,2.0,2.0
915,CHP02947,南天竹叶,1.0,4.0,4.0,3.0,3.0
916,CHP02951,南烛,1.0,4.0,4.0,2.0,2.0
917,CHP02967,柠檬,1.0,8.0,8.0,4.0,4.0
918,CHP02924,南方菟丝子,1.0,4.0,4.0,2.0,2.0
919,CHP02930,南瓜子,1.0,13.0,13.0,6.0,6.0
920,CHP02934,南山藤,1.0,5.0,5.0,3.0,3.0
921,CHP02935,南蛇竻,1.0,12.0,12.0,8.0,8.0
922,CHP02938,南蛇藤,1.0,4.0,4.0,2.0,2.0
923,CHP02939,南蛇藤根,1.0,23.0,23.0,17.0,17.0
924,CHP02898,木天蓼,1.0,25.0,25.0,13.0,13.0
925,CHP02901,木通,1.0,62.0,62.0,36.0,36.0
926,CHP02904,木香,1.0,42.0,42.0,30.0,30.0
927,CHP02908,木贼,1.0,16.0,16.0,8.0,8.0
928,CHP02909,木竹子,1.0,64.0,64.0,16.0,16.0
929,CHP02913,苜蓿,1.0,6.0,6.0,4.0,4.0
930,CHP04958,羊角拗,1.0,10.0,10.0,5.0,5.0
931,CHP04959,羊角拗子,1.0,4.0,4.0,3.0,3.0
932,CHP04960,羊角棉,1.0,2.0,2.0,2.0,2.0
933,CHP04962,羊角藤,1.0,5.0,5.0,2.0,2.0
934,CHP04971,羊蹄,1.0,4.0,4.0,2.0,2.0
935,CHP04975,羊踯躅,1.0,15.0,15.0,14.0,14.0
936,CHP04984,杨梅,1.0,9.0,9.0,6.0,6.0
937,CHP04904,岩败酱,1.0,3.0,3.0,2.0,2.0
938,CHP04918,岩椒草,1.0,13.0,13.0,3.0,3.0
939,CHP04920,岩筋菜,1.0,4.0,4.0,4.0,4.0
940,CHP04933,岩乌头,1.0,1.0,1.0,1.0,1.0
941,CHP04948,眼子菜,1.0,9.0,9.0,5.0,5.0
942,CHP04951,燕麦,1.0,10.0,10.0,6.0,5.0
943,CHP04956,羊耳蒜,1.0,2.0,2.0,1.0,1.0
944,CHP04896,烟窝草,1.0,9.0,9.0,4.0,4.0
945,CHP04897,延胡索,1.0,19.0,19.0,12.0,11.0
946,CHP04898,延龄草,1.0,12.0,12.0,9.0,9.0
947,CHP04900,芫花根,1.0,3.0,3.0,2.0,2.0
948,CHP04902,芫荽子,1.0,17.0,17.0,10.0,10.0
949,CHP04903,岩白菜,1.0,3.0,3.0,2.0,2.0
950,CHP04863,荨麻,1.0,13.0,13.0,8.0,8.0
951,CHP04866,鸦胆子,1.0,12.0,12.0,9.0,9.0
952,CHP04867,鸦片,1.0,9.0,9.0,2.0,2.0
953,CHP04869,鸭儿芹,1.0,1.0,1.0,1.0,1.0
954,CHP04886,亚罗椿,1.0,7.0,7.0,4.0,4.0
955,CHP04888,亚麻子,1.0,4.0,4.0,2.0,2.0
956,CHP04893,烟草,1.0,13.0,13.0,7.0,7.0
957,CHP03088,蟛蜞菊,1.0,7.0,7.0,5.0,5.0
958,CHP03094,披针叶野决明,1.0,5.0,5.0,3.0,2.0
959,CHP03097,皮哨子,1.0,5.0,5.0,3.0,3.0
960,CHP03098,枇杷,1.0,6.0,6.0,3.0,3.0
961,CHP03099,枇杷核,1.0,6.0,6.0,4.0,4.0
962,CHP03102,枇杷叶,1.0,89.0,89.0,62.0,61.0
963,CHP03104,啤酒花,1.0,54.0,54.0,27.0,26.0
964,CHP03070,胖大海,1.0,19.0,19.0,11.0,11.0
965,CHP03075,泡桐,1.0,4.0,4.0,2.0,2.0
966,CHP03077,泡桐果,1.0,2.0,2.0,1.0,1.0
967,CHP03082,佩兰,1.0,59.0,59.0,42.0,38.0
968,CHP03087,蓬子菜,1.0,4.0,4.0,2.0,2.0
969,CHP03024,牛膝,1.0,162.0,162.0,131.0,131.0
970,CHP03027,牛心茄子,1.0,5.0,5.0,3.0,3.0
971,CHP03038,糯稻根,1.0,13.0,13.0,7.0,7.0
972,CHP03049,女贞子,1.0,107.0,107.0,60.0,60.0
973,CHP03050,欧当归,1.0,3.0,3.0,1.0,1.0
974,CHP03051,欧活血丹,1.0,8.0,8.0,5.0,5.0
975,CHP03053,欧鼠李,1.0,2.0,2.0,2.0,2.0
976,CHP03056,藕节,1.0,1.0,1.0,1.0,1.0
977,CHP02998,牛角瓜,1.0,2.0,2.0,2.0,2.0
978,CHP03002,牛筋果,1.0,7.0,7.0,1.0,1.0
979,CHP03013,牛舌草,1.0,14.0,14.0,8.0,8.0
980,CHP03018,牛尾菜,1.0,1.0,1.0,1.0,1.0
981,CHP03020,牛尾蒿,1.0,14.0,14.0,7.0,7.0
982,CHP03022,牛西西,1.0,9.0,9.0,5.0,5.0
983,CHP03182,千里光,1.0,35.0,35.0,22.0,21.0
984,CHP03185,千年健,1.0,25.0,25.0,18.0,17.0
985,CHP03186,千屈菜,1.0,28.0,28.0,14.0,14.0
986,CHP03187,千日红,1.0,12.0,12.0,6.0,6.0
987,CHP03192,牵牛子,1.0,39.0,39.0,31.0,31.0
988,CHP03193,前胡,1.0,85.0,85.0,56.0,54.0
989,CHP03194,芡实,1.0,3.0,3.0,2.0,2.0
990,CHP03162,漆大姑,1.0,4.0,4.0,3.0,3.0
991,CHP03175,千层塔,1.0,65.0,65.0,41.0,41.0
992,CHP03176,千打锤,1.0,26.0,26.0,13.0,13.0
993,CHP03178,千斤拔,1.0,37.0,37.0,19.0,19.0
994,CHP03179,千金藤,1.0,41.0,41.0,24.0,24.0
995,CHP03180,千金子,1.0,10.0,10.0,7.0,7.0
996,CHP03124,破布木,1.0,5.0,5.0,3.0,3.0
997,CHP03127,破叶莲,1.0,11.0,11.0,5.0,5.0
998,CHP03130,葡萄,1.0,12.0,12.0,5.0,5.0
999,CHP03132,葡萄柚,1.0,7.0,7.0,3.0,3.0
1000,CHP03134,蒲公英,1.0,34.0,34.0,13.0,11.0
1001,CHP03135,蒲黄,1.0,12.0,12.0,8.0,7.0
1002,CHP03139,蒲桃,1.0,33.0,33.0,13.0,11.0
1003,CHP03148,铺地蜈蚣,1.0,14.0,14.0,14.0,14.0
1004,CHP03110,飘拂草,1.0,1.0,1.0,1.0,1.0
1005,CHP03111,平贝母,1.0,24.0,24.0,22.0,22.0
1006,CHP03113,苹果,1.0,1.0,1.0,1.0,1.0
