rank,CHP_ID,Chinese_herbal_pieces,high_quality_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
1526,CHP00269,遍地金,0.9015050499999999,4.0,4.0,2.0,1.0
1527,CHP00083,白鹤灵芝,0.8949023483333334,13.0,13.0,6.0,3.0
1528,CHP03083,蓬莪术,0.8918311,6.0,6.0,2.0,1.0
1529,CHP04986,杨梅核仁,0.8727578,2.0,2.0,1.0,0.0
1530,CHP04463,锡生藤,0.8677549075000001,9.0,9.0,4.0,1.0
1531,CHP05681,紫穗槐,0.8622257,2.0,2.0,1.0,0.0
1532,CHP04330,蕹菜,0.855868,2.0,2.0,1.0,0.0
1533,CHP04535,咸酸蔃,0.83630437,1.0,1.0,1.0,0.0
1534,CHP02683,毛贯众,0.83297748,4.0,4.0,2.0,0.0
1535,CHP02918,南板蓝根,0.82290477,4.0,4.0,1.0,0.0
1536,CHP00038,巴豆霜,0.8219141,1.0,1.0,1.0,0.0
1537,CHP01740,黄心果,0.8173092,15.0,15.0,1.0,0.0
1538,CHP00763,吊兰,0.8106739,1.0,1.0,1.0,0.0
1539,CHP05766,鳖甲,0.80717057,2.0,2.0,1.0,0.0
1540,CHP06156,红粉,0.0,1.0,1.0,0.0,0.0
1541,CHP05824,狗肉,0.0,1.0,1.0,0.0,0.0
1542,CHP02293,栗树皮,0.0,2.0,2.0,0.0,0.0
1543,CHP02456,陆地棉,0.0,3.0,3.0,0.0,0.0
1544,CHP00149,白土茯苓,0.0,1.0,1.0,0.0,0.0
1545,CHP05610,姊妹树,0.0,1.0,1.0,0.0,0.0
1546,CHP02120,苦楝实,0.0,3.0,3.0,0.0,0.0
1547,CHP02539,绿笋片,0.0,2.0,2.0,0.0,0.0
1548,CHP02582,马蔺子,0.0,3.0,3.0,0.0,0.0
1549,CHP02697,毛莲蒿,0.0,1.0,1.0,0.0,0.0
1550,CHP02397,龙船花,0.0,11.0,11.0,0.0,0.0
1551,CHP05683,紫藤,0.0,1.0,1.0,0.0,0.0
1552,CHP05694,紫薇叶,0.0,1.0,1.0,0.0,0.0
1553,CHP05692,紫薇花,0.0,1.0,1.0,0.0,0.0
