rank,CHP_ID,Chinese_herbal_pieces,high_quality_ratio,total_compounds,effective_count,high_quality_count,ultra_high_count
50,CHP03772,柿根,1.0,2.0,2.0,2.0,2.0
51,CHP03767,莳萝子,1.0,8.0,8.0,8.0,8.0
52,CHP05175,银粉背蕨,1.0,1.0,1.0,1.0,0.0
53,CHP05198,鹰不泊,1.0,1.0,1.0,1.0,1.0
54,CHP05252,柚子,1.0,1.0,1.0,1.0,0.0
55,CHP03184,千年艾,1.0,1.0,1.0,1.0,1.0
56,CHP05105,野芝麻根,1.0,8.0,8.0,8.0,7.0
57,CHP01086,芙蓉花,1.0,1.0,1.0,1.0,1.0
58,CHP03105,辟汗草,1.0,1.0,1.0,1.0,1.0
59,CHP01072,凤仙花,1.0,1.0,1.0,1.0,1.0
60,CHP03015,牛舌头,1.0,1.0,1.0,1.0,1.0
61,CHP03299,驱虫斑鸠菊,1.0,1.0,1.0,1.0,1.0
62,CHP00897,短小蛇根草,1.0,1.0,1.0,1.0,1.0
63,CHP04598,香樟叶,1.0,1.0,1.0,1.0,1.0
64,CHP04604,向日葵花,1.0,1.0,1.0,1.0,1.0
65,CHP04577,香青兰,1.0,3.0,3.0,3.0,3.0
66,CHP01610,化香树果,1.0,1.0,1.0,1.0,1.0
67,CHP04798,杏子,1.0,1.0,1.0,1.0,1.0
68,CHP04992,洋葱,1.0,1.0,1.0,1.0,1.0
69,CHP00763,吊兰,1.0,1.0,1.0,1.0,1.0
70,CHP04215,土百部,1.0,1.0,1.0,1.0,1.0
71,CHP04059,桃根,1.0,1.0,1.0,1.0,1.0
72,CHP04110,田旋花,1.0,1.0,1.0,1.0,1.0
73,CHP05848,黑蚂蚁,1.0,1.0,1.0,1.0,1.0
74,CHP05766,鳖甲,1.0,2.0,2.0,2.0,1.0
75,CHP05796,灯心柳珊瑚,1.0,1.0,1.0,1.0,1.0
76,CHP04385,芜菁甘蓝,1.0,1.0,1.0,1.0,1.0
77,CHP05004,药西瓜,1.0,1.0,1.0,1.0,1.0
78,CHP05007,椰子,1.0,4.0,4.0,4.0,4.0
79,CHP04325,文冠木,1.0,5.0,5.0,5.0,5.0
80,CHP04233,土连翘,1.0,1.0,1.0,1.0,1.0
81,CHP00640,当药,1.0,3.0,3.0,3.0,2.0
82,CHP00648,倒地铃,1.0,1.0,1.0,1.0,1.0
83,CHP04543,线叶金鸡菊,1.0,2.0,2.0,2.0,2.0
84,CHP03741,石楠,1.0,1.0,1.0,1.0,1.0
85,CHP03810,薯莨,1.0,1.0,1.0,1.0,1.0
86,CHP03921,水杨枝叶,1.0,1.0,1.0,1.0,0.0
87,CHP03970,松叶,1.0,4.0,4.0,4.0,4.0
88,CHP01193,葛蕈,0.9375,16.0,16.0,15.0,15.0
89,CHP05322,月季花,0.9090909090909091,11.0,11.0,10.0,10.0
90,CHP04848,血风藤,0.9,10.0,10.0,9.0,7.0
91,CHP01104,福寿草,0.9,20.0,20.0,18.0,18.0
92,CHP00793,东北刺人参,0.875,16.0,16.0,14.0,14.0
93,CHP05647,紫金牛根,0.8571428571428571,7.0,7.0,6.0,4.0
94,CHP04602,向日葵,0.8333333333333334,6.0,6.0,5.0,4.0
95,CHP04272,歪脖子果,0.8333333333333334,6.0,6.0,5.0,3.0
96,CHP05070,野木瓜,0.8333333333333334,6.0,6.0,5.0,5.0
97,CHP01143,干地黄,0.8095238095238095,21.0,21.0,17.0,17.0
98,CHP05499,枳椇子,0.8,5.0,5.0,4.0,3.0
99,CHP05541,珠子参,0.8,5.0,5.0,4.0,3.0
100,CHP00778,丁茄,0.7777777777777778,9.0,9.0,7.0,7.0
101,CHP04880,鸭跖草,0.75,4.0,4.0,3.0,3.0
102,CHP01593,华南吴茱萸,0.75,4.0,4.0,3.0,2.0
103,CHP00605,大叶醉鱼草,0.75,4.0,4.0,3.0,2.0
104,CHP00413,川滇淫羊藿,0.75,8.0,8.0,6.0,6.0
105,CHP00990,番石榴,0.75,12.0,12.0,9.0,8.0
106,CHP02683,毛贯众,0.75,4.0,4.0,3.0,0.0
107,CHP03215,茄子根,0.75,4.0,4.0,3.0,3.0
108,CHP03780,匙羹藤,0.75,4.0,4.0,3.0,3.0
109,CHP04595,香樟,0.7333333333333333,15.0,15.0,11.0,9.0
110,CHP00414,川鄂淫羊藿,0.7272727272727273,11.0,11.0,8.0,8.0
111,CHP01211,狗脊,0.7241379310344828,29.0,29.0,21.0,15.0
112,CHP00883,杜松实,0.7142857142857143,7.0,7.0,5.0,2.0
113,CHP04824,玄参,0.7142857142857143,21.0,21.0,15.0,14.0
114,CHP03665,伸筋草,0.6744186046511628,43.0,43.0,29.0,25.0
115,CHP02356,凌霄,0.6666666666666666,6.0,6.0,4.0,4.0
116,CHP05638,紫花景天,0.6666666666666666,3.0,3.0,2.0,1.0
117,CHP01853,剪秋罗,0.6666666666666666,3.0,3.0,2.0,2.0
118,CHP02306,莲蓬草,0.6666666666666666,3.0,3.0,2.0,1.0
119,CHP01450,红筷子,0.6666666666666666,3.0,3.0,2.0,2.0
120,CHP02054,绢毛蔷薇,0.6666666666666666,3.0,3.0,2.0,1.0
121,CHP01858,见血清,0.6666666666666666,3.0,3.0,2.0,2.0
122,CHP01814,极美云实,0.6666666666666666,9.0,9.0,6.0,5.0
123,CHP05553,猪屎豆,0.6666666666666666,3.0,3.0,2.0,2.0
124,CHP02982,牛蒡,0.6666666666666666,12.0,12.0,8.0,7.0
125,CHP03659,蛇藤,0.6666666666666666,3.0,3.0,2.0,2.0
126,CHP00809,东一号剑麻,0.6666666666666666,9.0,9.0,6.0,6.0
127,CHP03653,蛇莓,0.6666666666666666,3.0,3.0,2.0,2.0
128,CHP01083,扶桑花,0.6666666666666666,3.0,3.0,2.0,2.0
129,CHP02972,柠檬皮,0.6666666666666666,6.0,6.0,4.0,4.0
130,CHP00330,茶花,0.6666666666666666,3.0,3.0,2.0,2.0
131,CHP00351,朝鲜白头翁,0.6666666666666666,3.0,3.0,2.0,1.0
132,CHP03254,青葙,0.6666666666666666,3.0,3.0,2.0,2.0
133,CHP02749,玫瑰,0.6666666666666666,3.0,3.0,2.0,2.0
134,CHP05337,云南榧树,0.6666666666666666,3.0,3.0,2.0,2.0
135,CHP02527,吕宋楸毛,0.6666666666666666,6.0,6.0,4.0,4.0
136,CHP02633,蔓性千斤拔,0.6666666666666666,3.0,3.0,2.0,1.0
137,CHP01122,甘葛藤根,0.6666666666666666,3.0,3.0,2.0,1.0
138,CHP05482,蜘蛛抱蛋,0.6666666666666666,3.0,3.0,2.0,2.0
139,CHP00373,齿叶草,0.6666666666666666,3.0,3.0,2.0,1.0
140,CHP04834,雪胆,0.6666666666666666,15.0,15.0,10.0,10.0
141,CHP04378,无距耧斗菜,0.6666666666666666,3.0,3.0,2.0,2.0
142,CHP04462,锡兰肉桂,0.6666666666666666,3.0,3.0,2.0,2.0
143,CHP04316,卫矛,0.6666666666666666,3.0,3.0,2.0,2.0
144,CHP00366,橙皮,0.6666666666666666,3.0,3.0,2.0,2.0
145,CHP03803,鼠李,0.6666666666666666,6.0,6.0,4.0,4.0
146,CHP04772,心叶荆芥,0.6666666666666666,3.0,3.0,2.0,2.0
147,CHP00433,莼菜,0.6666666666666666,3.0,3.0,2.0,2.0
148,CHP06096,鬼盖,0.6666666666666666,6.0,6.0,4.0,3.0
149,CHP06116,蜜环菌,0.6666666666666666,6.0,6.0,4.0,2.0
150,CHP06080,豹皮菇,0.6666666666666666,3.0,3.0,2.0,2.0
151,CHP06092,茯神,0.6666666666666666,3.0,3.0,2.0,2.0
152,CHP00101,白芥,0.6666666666666666,3.0,3.0,2.0,2.0
153,CHP00095,白花藤,0.6666666666666666,3.0,3.0,2.0,2.0
154,CHP05880,鸡脑,0.6666666666666666,3.0,3.0,2.0,2.0
155,CHP05964,牛肾,0.6666666666666666,6.0,6.0,4.0,4.0
156,CHP05983,全蝎,0.6666666666666666,3.0,3.0,2.0,2.0
157,CHP06089,冬虫夏草,0.6470588235294118,17.0,17.0,11.0,11.0
158,CHP03199,茜草根,0.6363636363636364,11.0,11.0,7.0,7.0
159,CHP00876,杜鹃花,0.6363636363636364,11.0,11.0,7.0,6.0
160,CHP02397,龙船花,0.6363636363636364,11.0,11.0,7.0,5.0
161,CHP03450,沙糖根,0.625,8.0,8.0,5.0,4.0
162,CHP02033,橘叶,0.625,8.0,8.0,5.0,5.0
163,CHP01043,风毛菊,0.625,8.0,8.0,5.0,5.0
164,CHP01296,广金钱草,0.6190476190476191,21.0,21.0,13.0,9.0
165,CHP04838,雪莲,0.6153846153846154,26.0,26.0,16.0,16.0
166,CHP02583,马铃薯,0.6,5.0,5.0,3.0,3.0
167,CHP02685,毛诃子,0.6,5.0,5.0,3.0,3.0
168,CHP01176,高乌头,0.6,5.0,5.0,3.0,3.0
169,CHP02970,柠檬桉叶,0.6,5.0,5.0,3.0,3.0
170,CHP02477,露蕊乌头,0.6,5.0,5.0,3.0,1.0
171,CHP00828,冬珊瑚,0.6,5.0,5.0,3.0,3.0
172,CHP05073,野漆树,0.6,5.0,5.0,3.0,2.0
173,CHP05160,益智仁,0.6,5.0,5.0,3.0,3.0
174,CHP04951,燕麦,0.6,10.0,10.0,6.0,6.0
175,CHP00178,百眼藤,0.6,5.0,5.0,3.0,1.0
176,CHP00203,半边旗,0.6,5.0,5.0,3.0,3.0
177,CHP01990,景天,0.6,5.0,5.0,3.0,2.0
178,CHP01695,黄栌,0.6,5.0,5.0,3.0,2.0
179,CHP00724,灯笼泡,0.6,5.0,5.0,3.0,3.0
180,CHP03084,蓬莱草,0.6,5.0,5.0,3.0,2.0
181,CHP00924,盾叶唐松草,0.6,10.0,10.0,6.0,4.0
182,CHP02239,老鼠瓜,0.6,5.0,5.0,3.0,3.0
183,CHP05680,紫苏子,0.5909090909090909,22.0,22.0,13.0,11.0
184,CHP01449,红景天,0.5909090909090909,44.0,44.0,26.0,23.0
185,CHP00298,苍耳,0.5882352941176471,17.0,17.0,10.0,8.0
186,CHP04862,寻骨风,0.5882352941176471,17.0,17.0,10.0,7.0
187,CHP01550,虎刺,0.5882352941176471,17.0,17.0,10.0,4.0
188,CHP00408,楮树根,0.5869565217391305,46.0,46.0,27.0,20.0
189,CHP03130,葡萄,0.5833333333333334,12.0,12.0,7.0,7.0
190,CHP00220,宝盖草,0.5833333333333334,12.0,12.0,7.0,6.0
191,CHP01470,红木香,0.5833333333333334,12.0,12.0,7.0,6.0
192,CHP03778,柿叶,0.5714285714285714,14.0,14.0,8.0,5.0
193,CHP05248,柚花,0.5714285714285714,21.0,21.0,12.0,12.0
194,CHP02061,君迁子,0.5714285714285714,7.0,7.0,4.0,4.0
195,CHP04467,喜旱莲子草,0.5714285714285714,7.0,7.0,4.0,4.0
196,CHP04647,小构树,0.5714285714285714,21.0,21.0,12.0,10.0
197,CHP04683,小接筋草,0.5714285714285714,7.0,7.0,4.0,3.0
198,CHP00401,樗叶花椒,0.5714285714285714,7.0,7.0,4.0,4.0
199,CHP00053,白背叶,0.5714285714285714,7.0,7.0,4.0,0.0
200,CHP00403,除虫菊,0.5625,16.0,16.0,9.0,9.0
201,CHP03768,使君子,0.56,25.0,25.0,14.0,9.0
202,CHP00068,白杜鹃花,0.5555555555555556,18.0,18.0,10.0,9.0
203,CHP00091,白花灯笼,0.5555555555555556,9.0,9.0,5.0,5.0
204,CHP05296,郁金香,0.5555555555555556,9.0,9.0,5.0,5.0
205,CHP02816,棉花根,0.5555555555555556,9.0,9.0,5.0,5.0
206,CHP02909,木竹子,0.546875,64.0,64.0,35.0,23.0
207,CHP00023,暗紫贝母,0.5454545454545454,11.0,11.0,6.0,5.0
208,CHP03127,破叶莲,0.5454545454545454,11.0,11.0,6.0,6.0
209,CHP00293,菜豆树,0.5454545454545454,11.0,11.0,6.0,4.0
210,CHP05370,皂荚,0.5454545454545454,22.0,22.0,12.0,12.0
211,CHP00080,白果紫草,0.5454545454545454,11.0,11.0,6.0,6.0
212,CHP03314,蘘荷,0.5454545454545454,11.0,11.0,6.0,6.0
213,CHP00762,吊干麻,0.5454545454545454,22.0,22.0,12.0,10.0
214,CHP00312,草本威灵仙,0.5454545454545454,11.0,11.0,6.0,5.0
215,CHP00187,败酱草,0.5428571428571428,70.0,70.0,38.0,31.0
216,CHP02661,毛白杨,0.5384615384615384,13.0,13.0,7.0,6.0
217,CHP00336,茶子,0.5384615384615384,13.0,13.0,7.0,7.0
218,CHP01578,华北白前,0.5384615384615384,13.0,13.0,7.0,7.0
219,CHP00175,百脉根,0.5333333333333333,15.0,15.0,8.0,6.0
220,CHP04244,土三七,0.5333333333333333,15.0,15.0,8.0,6.0
221,CHP02554,麻牛膝,0.5333333333333333,15.0,15.0,8.0,8.0
222,CHP01676,黄荆,0.5333333333333333,15.0,15.0,8.0,6.0
223,CHP01234,枸杞,0.5333333333333333,15.0,15.0,8.0,6.0
224,CHP03134,蒲公英,0.5294117647058824,34.0,34.0,18.0,14.0
225,CHP05675,紫杉,0.5294117647058824,102.0,102.0,54.0,54.0
226,CHP05682,紫檀,0.5277777777777778,36.0,36.0,19.0,17.0
227,CHP02009,韭菜子,0.5263157894736842,19.0,19.0,10.0,9.0
228,CHP06100,猴头菇,0.5263157894736842,19.0,19.0,10.0,8.0
229,CHP02337,辽东楤木,0.5263157894736842,19.0,19.0,10.0,10.0
230,CHP01409,红车轴草,0.5238095238095238,21.0,21.0,11.0,6.0
231,CHP04178,通关藤,0.5238095238095238,21.0,21.0,11.0,11.0
232,CHP01669,黄花远志,0.5238095238095238,21.0,21.0,11.0,8.0
233,CHP04482,细辛,0.5217391304347826,23.0,23.0,12.0,8.0
234,CHP00173,百里香,0.5217391304347826,23.0,23.0,12.0,9.0
235,CHP02037,蒟蒻薯,0.5211267605633803,71.0,71.0,37.0,37.0
236,CHP05402,獐牙菜,0.5135135135135135,37.0,37.0,19.0,17.0
237,CHP05489,止泻木皮,0.5116279069767442,43.0,43.0,22.0,19.0
238,CHP01824,荠菜,0.5098039215686274,51.0,51.0,26.0,25.0
239,CHP00108,白兰花,0.5079365079365079,63.0,63.0,32.0,14.0
240,CHP02062,咖啡,0.5,2.0,2.0,1.0,1.0
241,CHP01767,火焰花,0.5,6.0,6.0,3.0,3.0
242,CHP01773,鸡肠狼毒,0.5,18.0,18.0,9.0,8.0
243,CHP01719,黄杞,0.5,8.0,8.0,4.0,1.0
244,CHP00223,抱茎獐牙菜,0.5,8.0,8.0,4.0,4.0
245,CHP06035,蜈蚣,0.5,2.0,2.0,1.0,1.0
246,CHP05975,青蛙,0.5,4.0,4.0,2.0,2.0
247,CHP06167,硫磺,0.5,2.0,2.0,1.0,1.0
248,CHP05581,竹叶柴胡,0.5,2.0,2.0,1.0,1.0
249,CHP05563,竹柏根,0.5,4.0,4.0,2.0,2.0
250,CHP05635,紫花地丁,0.5,4.0,4.0,2.0,2.0
251,CHP01712,黄皮根,0.5,2.0,2.0,1.0,1.0
252,CHP01697,黄栌枝叶,0.5,2.0,2.0,1.0,1.0
253,CHP00011,艾纳香,0.5,18.0,18.0,9.0,9.0
254,CHP02824,明党参,0.5,4.0,4.0,2.0,1.0
255,CHP01774,鸡蛋参,0.5,2.0,2.0,1.0,1.0
256,CHP01910,金光菊,0.5,2.0,2.0,1.0,0.0
257,CHP02029,橘核,0.5,2.0,2.0,1.0,1.0
258,CHP00371,秤钩风,0.5,10.0,10.0,5.0,4.0
259,CHP04971,羊蹄,0.5,4.0,4.0,2.0,2.0
260,CHP04956,羊耳蒜,0.5,2.0,2.0,1.0,1.0
261,CHP01919,金橘,0.5,2.0,2.0,1.0,1.0
262,CHP06067,雉,0.5,2.0,2.0,1.0,1.0
263,CHP06038,犀角,0.5,2.0,2.0,1.0,1.0
264,CHP00393,臭茉莉,0.5,2.0,2.0,1.0,1.0
265,CHP00418,川西獐牙菜,0.5,2.0,2.0,1.0,1.0
266,CHP04761,斜基粗叶木,0.5,4.0,4.0,2.0,2.0
267,CHP04746,小叶石楠,0.5,2.0,2.0,1.0,1.0
268,CHP03719,石见穿,0.5,4.0,4.0,2.0,2.0
269,CHP03751,石刷把,0.5,4.0,4.0,2.0,2.0
270,CHP04115,甜茶藤,0.5,4.0,4.0,2.0,2.0
271,CHP00508,大花糙苏,0.5,2.0,2.0,1.0,1.0
272,CHP04092,天罗水,0.5,12.0,12.0,6.0,6.0
273,CHP04179,通花根,0.5,2.0,2.0,1.0,1.0
274,CHP00533,大麻叶泽兰,0.5,8.0,8.0,4.0,4.0
275,CHP00541,大青,0.5,2.0,2.0,1.0,1.0
276,CHP00560,大头橐吾,0.5,6.0,6.0,3.0,2.0
277,CHP04888,亚麻子,0.5,4.0,4.0,2.0,2.0
278,CHP01903,金草,0.5,2.0,2.0,1.0,0.0
279,CHP06073,紫河车,0.5,2.0,2.0,1.0,1.0
280,CHP04358,乌苏里瓦韦,0.5,2.0,2.0,1.0,1.0
281,CHP04344,乌桕木根皮,0.5,2.0,2.0,1.0,0.0
282,CHP04335,乌棒子,0.5,2.0,2.0,1.0,1.0
283,CHP00374,齿叶橐吾,0.5,2.0,2.0,1.0,0.0
284,CHP04253,兔儿伞,0.5,2.0,2.0,1.0,1.0
285,CHP04232,土荆芥,0.5,8.0,8.0,4.0,4.0
286,CHP04299,网脉橐吾,0.5,2.0,2.0,1.0,0.0
287,CHP00389,臭柏,0.5,4.0,4.0,2.0,2.0
288,CHP00963,鹅绒藤,0.5,6.0,6.0,3.0,2.0
289,CHP03309,雀梅藤,0.5,2.0,2.0,1.0,1.0
290,CHP03223,青黛,0.5,2.0,2.0,1.0,1.0
291,CHP03243,青皮,0.5,2.0,2.0,1.0,0.0
292,CHP02244,老鸦柿,0.5,6.0,6.0,3.0,3.0
293,CHP01302,广西九里香,0.5,6.0,6.0,3.0,2.0
294,CHP01337,海红豆,0.5,6.0,6.0,3.0,3.0
295,CHP01339,海韭菜,0.5,4.0,4.0,2.0,2.0
296,CHP02441,芦根,0.5,24.0,24.0,12.0,10.0
297,CHP02429,龙眼叶,0.5,6.0,6.0,3.0,3.0
298,CHP02457,陆英,0.5,2.0,2.0,1.0,1.0
299,CHP02478,露水草,0.5,10.0,10.0,5.0,5.0
300,CHP01524,胡桃树皮,0.5,8.0,8.0,4.0,4.0
301,CHP01525,胡桃叶,0.5,2.0,2.0,1.0,1.0
302,CHP01534,葫芦茶,0.5,12.0,12.0,6.0,4.0
303,CHP02839,母菊,0.5,10.0,10.0,5.0,5.0
304,CHP02821,缅枣,0.5,4.0,4.0,2.0,2.0
305,CHP06037,五灵脂,0.5,6.0,6.0,3.0,3.0
306,CHP00156,白叶藤,0.5,2.0,2.0,1.0,1.0
307,CHP00210,半夏曲,0.5,2.0,2.0,1.0,1.0
308,CHP05780,蟾皮,0.5,4.0,4.0,2.0,2.0
309,CHP05690,紫薇,0.5,12.0,12.0,6.0,5.0
310,CHP05681,紫穗槐,0.5,2.0,2.0,1.0,0.0
311,CHP00222,报春花,0.5,2.0,2.0,1.0,1.0
312,CHP00332,茶条槭,0.5,2.0,2.0,1.0,0.0
313,CHP05162,薏苡仁,0.5,6.0,6.0,3.0,2.0
314,CHP05010,椰子瓤,0.5,2.0,2.0,1.0,1.0
315,CHP02218,莨菪根,0.5,4.0,4.0,2.0,1.0
316,CHP04171,铁轴草,0.5,2.0,2.0,1.0,0.0
317,CHP04169,铁线莲,0.5,2.0,2.0,1.0,1.0
318,CHP04190,桐油,0.5,10.0,10.0,5.0,5.0
319,CHP02313,莲子草,0.5,8.0,8.0,4.0,4.0
320,CHP02355,铃兰,0.5,20.0,20.0,10.0,10.0
321,CHP01463,红毛野海棠,0.5,2.0,2.0,1.0,1.0
322,CHP01347,韩信草,0.5,4.0,4.0,2.0,2.0
323,CHP01349,旱莲花,0.5,2.0,2.0,1.0,0.0
324,CHP03672,神香草,0.5,4.0,4.0,2.0,2.0
325,CHP00319,草莓,0.5,2.0,2.0,1.0,1.0
326,CHP00879,杜鹃花叶,0.5,2.0,2.0,1.0,1.0
327,CHP03709,石刁柏,0.5,12.0,12.0,6.0,6.0
328,CHP03395,三面刀,0.5,14.0,14.0,7.0,7.0
329,CHP03365,瑞香花,0.5,2.0,2.0,1.0,0.0
330,CHP03321,人参芦,0.5,2.0,2.0,1.0,1.0
331,CHP03329,日中花,0.5,2.0,2.0,1.0,1.0
332,CHP03670,神黄豆,0.5,4.0,4.0,2.0,2.0
333,CHP00321,草问荆,0.5,4.0,4.0,2.0,2.0
334,CHP03606,山芝麻,0.5,2.0,2.0,1.0,0.0
335,CHP00801,东当归,0.5,2.0,2.0,1.0,1.0
336,CHP03596,山樱桃,0.5,4.0,4.0,2.0,2.0
337,CHP03550,山柳,0.5,2.0,2.0,1.0,1.0
338,CHP03506,山矾叶,0.5,4.0,4.0,2.0,2.0
339,CHP03504,山矾根,0.5,4.0,4.0,2.0,2.0
340,CHP03439,沙参,0.5,44.0,44.0,22.0,19.0
341,CHP03707,石胆草,0.5,6.0,6.0,3.0,3.0
342,CHP03456,沙枣树皮,0.5,2.0,2.0,1.0,0.0
343,CHP03595,山银柴胡,0.5,2.0,2.0,1.0,1.0
344,CHP02967,柠檬,0.5,8.0,8.0,4.0,2.0
345,CHP02924,南方菟丝子,0.5,4.0,4.0,2.0,2.0
346,CHP02938,南蛇藤,0.5,4.0,4.0,2.0,2.0
347,CHP02914,苜蓿根,0.5,2.0,2.0,1.0,1.0
348,CHP02920,南川升麻,0.5,2.0,2.0,1.0,0.0
349,CHP01183,茖葱,0.5,6.0,6.0,3.0,3.0
350,CHP01144,干冬菜,0.5,2.0,2.0,1.0,1.0
351,CHP05211,瘿花香茶菜,0.5,6.0,6.0,3.0,3.0
352,CHP05224,油茶子,0.5,6.0,6.0,3.0,3.0
353,CHP05142,伊贝母,0.5,2.0,2.0,1.0,1.0
354,CHP05154,异叶梁王茶,0.5,8.0,8.0,4.0,4.0
355,CHP03245,青钱柳,0.5,4.0,4.0,2.0,2.0
356,CHP03177,千解草,0.5,4.0,4.0,2.0,0.0
357,CHP02623,曼陀罗叶,0.5,14.0,14.0,7.0,7.0
358,CHP05392,粘毛鼠尾草,0.5,4.0,4.0,2.0,2.0
359,CHP00284,播娘蒿,0.5,14.0,14.0,7.0,6.0
360,CHP00251,边缘鳞盖蕨,0.5,14.0,14.0,7.0,7.0
361,CHP00235,贝母兰,0.5,6.0,6.0,3.0,1.0
362,CHP05357,芸薹,0.5,2.0,2.0,1.0,1.0
363,CHP02567,马蛋果,0.5,2.0,2.0,1.0,0.0
364,CHP02540,绿玉树,0.5,2.0,2.0,1.0,1.0
365,CHP01066,凤尾茶,0.5,4.0,4.0,2.0,1.0
366,CHP01089,佛甲草,0.5,8.0,8.0,4.0,3.0
367,CHP01040,粪箕笃,0.5,4.0,4.0,2.0,0.0
368,CHP04986,杨梅核仁,0.5,2.0,2.0,1.0,1.0
369,CHP03114,瓶尔小草,0.5,2.0,2.0,1.0,1.0
370,CHP03119,婆罗门参,0.5,8.0,8.0,4.0,3.0
371,CHP03098,枇杷,0.5,6.0,6.0,3.0,3.0
372,CHP01125,甘青铁线莲,0.5,6.0,6.0,3.0,3.0
373,CHP02942,南酸枣,0.5,4.0,4.0,2.0,2.0
374,CHP02951,南烛,0.5,4.0,4.0,2.0,2.0
375,CHP03426,桑寄生,0.5,6.0,6.0,3.0,2.0
376,CHP02663,毛草龙,0.5,6.0,6.0,3.0,2.0
377,CHP02696,毛连菜,0.5,4.0,4.0,2.0,2.0
378,CHP02769,美人蕉,0.5,4.0,4.0,2.0,2.0
379,CHP02746,茅香,0.5,2.0,2.0,1.0,1.0
380,CHP02745,茅莓,0.5,2.0,2.0,1.0,1.0
381,CHP01786,鸡冠花,0.5,6.0,6.0,3.0,2.0
382,CHP01775,鸡蛋果,0.5,2.0,2.0,1.0,1.0
383,CHP02789,米皮糠,0.5,10.0,10.0,5.0,4.0
384,CHP02781,迷迭香,0.5,10.0,10.0,5.0,5.0
385,CHP05302,元宝草,0.5,8.0,8.0,4.0,1.0
386,CHP01269,管花肉苁蓉,0.5,10.0,10.0,5.0,5.0
387,CHP04070,桃子,0.5,2.0,2.0,1.0,1.0
388,CHP05501,枳实,0.5,6.0,6.0,3.0,3.0
389,CHP05465,珍珠梅,0.5,2.0,2.0,1.0,1.0
