rank,CHP_ID,Chinese_herbal_pieces,effective_avg,total_compounds,effective_count,high_quality_count,ultra_high_count
705,CHP01780,鸡骨草,0.4909092062978724,47.0,47.0,16.0,16.0
706,CHP03762,石竹,0.4902981975,8.0,8.0,2.0,2.0
707,CHP00014,艾叶,0.490091745763325,397.0,397.0,158.0,127.0
708,CHP01919,金橘,0.48959218634999996,2.0,2.0,1.0,1.0
709,CHP04903,岩白菜,0.4894109466666667,3.0,3.0,1.0,1.0
710,CHP00081,白蒿,0.4893617906666667,9.0,9.0,4.0,4.0
711,CHP03753,石蒜,0.4890027199375,16.0,16.0,6.0,6.0
712,CHP00991,番石榴干,0.48881197,1.0,1.0,0.0,0.0
713,CHP04303,望江南,0.48878726222222224,9.0,9.0,2.0,1.0
714,CHP04956,羊耳蒜,0.48843041499999995,2.0,2.0,1.0,1.0
715,CHP05289,玉叶金花,0.4881490573636364,11.0,11.0,5.0,5.0
716,CHP04413,五色梅,0.4880904017391305,23.0,23.0,10.0,9.0
717,CHP01540,湖北黄精,0.48808600984615386,13.0,13.0,6.0,6.0
718,CHP02180,莱菔子,0.48807731955882355,34.0,34.0,15.0,13.0
719,CHP01543,槲寄生,0.48790455391639354,61.0,61.0,25.0,24.0
720,CHP06117,蘑菇,0.4876740053636363,11.0,11.0,4.0,4.0
721,CHP05255,余甘子,0.487536791625,48.0,48.0,19.0,19.0
722,CHP05662,紫茉莉,0.48742680065,8.0,8.0,3.0,3.0
723,CHP04167,铁苋,0.48698007499999996,17.0,17.0,5.0,5.0
724,CHP00288,补骨脂,0.48673925055856354,181.0,181.0,49.0,34.0
725,CHP01431,红花鹿蹄草,0.486665389125,8.0,8.0,2.0,2.0
726,CHP01663,黄花稔,0.4860386839090909,11.0,11.0,1.0,1.0
727,CHP01414,红豆蔻,0.48595273456190474,42.0,42.0,14.0,11.0
728,CHP02649,莽草根,0.485413254,2.0,2.0,1.0,1.0
729,CHP04290,万寿菊,0.4848749344285714,7.0,7.0,3.0,3.0
730,CHP04886,亚罗椿,0.48475631300000005,7.0,7.0,3.0,3.0
731,CHP02563,马槟榔,0.48446008934999996,2.0,2.0,1.0,1.0
732,CHP00728,灯油藤子,0.4841590777142857,7.0,7.0,3.0,3.0
733,CHP03491,山慈菇,0.48395235572000006,50.0,50.0,19.0,16.0
734,CHP00457,葱,0.48394778518000003,25.0,25.0,8.0,3.0
735,CHP00872,独一味,0.48373340096153855,26.0,26.0,10.0,10.0
736,CHP00015,安哥拉八角枫,0.4825986841111112,9.0,9.0,3.0,1.0
737,CHP00470,翠雀花,0.48243607749999995,52.0,52.0,21.0,19.0
738,CHP03871,水龙骨,0.4823989322799999,25.0,25.0,10.0,10.0
739,CHP02510,萝藦,0.4822547452857142,14.0,14.0,6.0,6.0
740,CHP06125,石花,0.4814047582857142,7.0,7.0,1.0,0.0
741,CHP00902,断节参,0.4813955999999999,3.0,3.0,1.0,1.0
742,CHP01771,藿香,0.4806283522222222,72.0,72.0,28.0,19.0
743,CHP00816,冬瓜子,0.4805125638564102,39.0,39.0,16.0,14.0
744,CHP05992,人中白,0.48048837421650603,83.0,83.0,25.0,18.0
745,CHP00364,澄茄子,0.48038888625,4.0,4.0,1.0,1.0
746,CHP00162,白芷,0.47977819667192184,307.0,307.0,96.0,67.0
747,CHP03486,山沉香,0.4789436021875,16.0,16.0,5.0,4.0
748,CHP03918,水杨梅,0.47892798999999997,2.0,2.0,0.0,0.0
749,CHP03423,桑白皮,0.47892685351700676,147.0,147.0,41.0,21.0
750,CHP04902,芫荽子,0.4783779947058825,17.0,17.0,7.0,7.0
751,CHP05782,蟾酥,0.47704787281126754,71.0,71.0,26.0,26.0
752,CHP00361,陈皮,0.4766504978980583,103.0,103.0,36.0,24.0
753,CHP04093,天麻,0.47617257200000007,11.0,11.0,3.0,3.0
754,CHP02898,木天蓼,0.47562386744400004,25.0,25.0,10.0,10.0
755,CHP05301,鸢尾,0.47507715704054054,37.0,37.0,5.0,2.0
756,CHP01288,光叶巴豆,0.474924842,24.0,24.0,9.0,8.0
757,CHP00678,地骨皮,0.4747006760320588,34.0,34.0,12.0,10.0
758,CHP01809,积雪草,0.47468981935121957,41.0,41.0,14.0,14.0
759,CHP01357,何首乌,0.47433069411764706,34.0,34.0,13.0,11.0
760,CHP05121,夜合花,0.47416725,2.0,2.0,0.0,0.0
761,CHP02489,罗布麻叶,0.47399828831199997,25.0,25.0,11.0,9.0
762,CHP01741,黄杨,0.47392302630000005,25.0,25.0,9.0,9.0
763,CHP02065,看麦娘状莎草,0.47373616493333326,15.0,15.0,6.0,5.0
764,CHP00030,八角茴香,0.47371478796879696,266.0,266.0,85.0,75.0
765,CHP02450,芦竹根,0.47349538814545444,11.0,11.0,3.0,2.0
766,CHP00466,粗榧子,0.473113004125,8.0,8.0,3.0,3.0
767,CHP00209,半夏,0.47305030607148396,155.0,155.0,57.0,51.0
768,CHP03843,水红花子,0.4730041214117647,17.0,17.0,6.0,5.0
769,CHP02060,爵床,0.4729981087586206,29.0,29.0,9.0,8.0
770,CHP03601,山楂,0.47257823524000003,25.0,25.0,7.0,6.0
771,CHP00612,代代花,0.4723358600091667,96.0,96.0,36.0,34.0
772,CHP01623,槐花,0.47207998698750003,112.0,112.0,37.0,30.0
773,CHP01370,鹤虱,0.4717922557413793,29.0,29.0,13.0,10.0
774,CHP00374,齿叶橐吾,0.47173726,2.0,2.0,1.0,0.0
775,CHP03561,山柰,0.47096477574,20.0,20.0,8.0,7.0
776,CHP01256,关白附,0.47092585756250005,16.0,16.0,6.0,5.0
777,CHP01040,粪箕笃,0.47068471,4.0,4.0,2.0,0.0
778,CHP04352,乌蔹莓,0.4696241,1.0,1.0,0.0,0.0
779,CHP03716,石斛,0.46908029639189186,74.0,74.0,24.0,21.0
