rank,CHP_ID,Chinese_herbal_pieces,comprehensive_score,total_score,effective_avg,high_quality_avg,ultra_high_count,high_quality_ratio
811,CHP00416,川木香,0.39534910461009554,20.904528450000004,0.7208458086206898,0.877550690909091,6.0,0.3793103448275862
812,CHP00802,东方狗脊,0.3952936325232593,8.96920701,0.7474339175,0.87476857,3.0,0.4166666666666667
813,CHP01375,黑豆衣,0.3949425533877316,1.5375152399999998,0.7687576199999999,0.82559794,0.0,0.5
814,CHP03500,山豆根,0.39482848911602053,36.605524280000004,0.7039523900000001,0.8580919331578948,3.0,0.36538461538461536
815,CHP02657,猫眼草,0.3948195045542037,21.459078070000004,0.7153026023333334,0.8665010958333332,5.0,0.4
816,CHP02546,麻黄,0.3946710938442434,61.64335144,0.7004926300000001,0.8600631836363637,3.0,0.25
817,CHP04106,天竺黄,0.39442430297433695,18.70800344,0.7195385938461538,0.9067546844444444,6.0,0.34615384615384615
818,CHP05325,月见草,0.3944044577586538,1.51666957,0.758334785,0.83340293,0.0,0.5
819,CHP03657,蛇葡萄,0.3943258646852166,16.11051758,0.7671675038095238,0.86261321125,0.0,0.38095238095238093
820,CHP03609,山茱萸,0.39418098730113826,47.54161896,0.6696002670422535,0.8539968565384614,2.0,0.36619718309859156
821,CHP04316,卫矛,0.3941795627150416,2.35221389,0.7840712966666666,0.92512596,1.0,0.3333333333333333
822,CHP00945,多穗石柯叶,0.39416012770089265,5.75802249,0.71975281125,0.8559849900000001,0.0,0.5
823,CHP01374,黑豆,0.3939994294249318,75.53293775,0.6294411479166667,0.8715917817241381,7.0,0.24166666666666667
824,CHP03022,牛西西,0.39399703546706416,6.8849725799999995,0.7649969533333333,0.84766539,0.0,0.4444444444444444
825,CHP02131,苦树皮,0.3938628353885543,38.285428800000005,0.6600936000000001,0.9174426088235293,11.0,0.29310344827586204
826,CHP02327,两头尖,0.39348437436945355,18.779009560000002,0.7222695984615386,0.902581301111111,5.0,0.34615384615384615
827,CHP02834,茉莉花,0.3933223339768321,1.5157357,0.75786785,0.8284625,0.0,0.5
828,CHP04006,酸枣仁,0.393174593416625,19.94270074,0.7386185459259259,0.872980393,2.0,0.37037037037037035
829,CHP00081,白蒿,0.393117665280382,6.803771500000001,0.7559746111111112,0.9288978,2.0,0.3333333333333333
830,CHP03663,射干,0.39309617882246933,42.69185144,0.6776484355555555,0.8813475257894736,9.0,0.30158730158730157
831,CHP00060,白车轴草,0.3930837938871102,18.98696469,0.7302678726923078,0.8481819245454546,1.0,0.4230769230769231
832,CHP02293,栗树皮,0.39307561321747886,1.5305323,0.76526615,0.81977904,0.0,0.5
833,CHP01334,海带,0.3930089208432868,44.143402304000006,0.6791292662153847,0.8642404131818181,4.0,0.3384615384615385
834,CHP00857,独活,0.39293140218580136,71.51443898,0.6621707312962962,0.8691814091999999,3.0,0.23148148148148148
835,CHP00332,茶条槭,0.3928781719882511,1.5310485699999998,0.7655242849999999,0.8185319,0.0,0.5
836,CHP00970,鄂北贝母,0.3928359506753041,5.59923106,0.6999038825,0.869766315,0.0,0.5
837,CHP04127,甜叶菊,0.3928094006374355,2.3548006,0.7849335333333333,0.9174039,1.0,0.3333333333333333
838,CHP01630,黄柏,0.39274424490564575,38.01367655999999,0.7039569733333332,0.8736776694117647,5.0,0.3148148148148148
839,CHP00997,番泻叶,0.392602857837838,16.40126895,0.7455122249999999,0.8535364866666666,0.0,0.4090909090909091
840,CHP02065,看麦娘状莎草,0.3924775202018795,10.64467334,0.7096448893333334,0.8586438357142857,2.0,0.4666666666666667
841,CHP04167,铁苋,0.39240240802868187,11.473397099999998,0.6749057117647057,0.880169385,4.0,0.47058823529411764
842,CHP01323,桂皮,0.3924021916250229,8.519415089999999,0.7744922809090908,0.9427747700000001,3.0,0.2727272727272727
843,CHP03114,瓶尔小草,0.39239052808493075,1.4792037,0.73960185,0.84219676,0.0,0.5
844,CHP00533,大麻叶泽兰,0.39236798473137513,6.19272572,0.774090715,0.88141705,1.0,0.375
845,CHP00023,暗紫贝母,0.3920311972033153,7.86362789,0.7148752627272728,0.9311353025,4.0,0.36363636363636365
846,CHP01176,高乌头,0.3920265585065186,3.8971465100000002,0.779429302,0.867124555,0.0,0.4
847,CHP02356,凌霄,0.3918094674719086,4.72142956,0.7869049266666667,0.9021867299999999,1.0,0.3333333333333333
848,CHP06033,乌梢蛇,0.39170999392384764,1.9339990000000002,0.6446663333333335,0.8071449500000001,0.0,0.6666666666666666
849,CHP02410,龙脑膏香,0.3916681333128777,10.67554322,0.7117028813333334,0.8594406942857143,0.0,0.4666666666666667
