CHP_ID,Chinese_herbal_pieces,total_score
CHP01656,黄花夹竹桃,29.38315391
CHP01011,防己,29.35709783
CHP00406,楮实子,29.29346017
CHP00444,刺果苏木,29.28749698
CHP02604,买麻藤,29.24684151
CHP03439,沙参,29.23093061
CHP01449,红景天,29.20440794
CHP04173,葶苈子,29.1381823
CHP00694,地锦草,29.12907342
CHP04313,尾叶香茶菜,28.70502869
CHP02631,蔓荆子,28.68846965
CHP03665,伸筋草,28.67785266
CHP01344,海藻,28.66016197
CHP00313,草苁蓉,28.57415201
CHP02803,密蒙花,28.56615435
CHP00816,冬瓜子,28.55392447
CHP02562,马鞭草,28.35412445
CHP01414,红豆蔻,28.32675467
CHP02528,绿豆,28.23364912
CHP01923,金莲花,28.20738408
CHP02209,狼毒,28.13425197
CHP00408,楮树根,28.13409148
CHP04842,雪山林,28.07133716
CHP01603,华泽兰,28.0126263
CHP01310,鬼箭羽,27.86920644
CHP00726,灯心草,27.75682623
CHP01424,红厚壳,27.73808894
CHP01795,鸡屎藤,27.53957024
CHP05186,银杏叶,27.4940089
CHP01356,合欢皮,27.38934875
CHP03431,桑叶,27.34435303
CHP00746,滇茜草,27.28424933
CHP03997,酸浆,27.18884404
CHP01007,防风,27.16764505
CHP03182,千里光,27.08118472
CHP05104,野芝麻,26.9981324
CHP00246,蓖麻子,26.99516082
CHP00327,侧柏枝节,26.97474434
CHP03178,千斤拔,26.75965991
CHP00421,穿龙薯蓣,26.65784513
CHP00441,刺柏,26.49011292
CHP01273,贯众,26.26944438
CHP05402,獐牙菜,26.26081251
CHP05676,紫苏,26.25286368
CHP01351,诃子,26.23507004
CHP03434,桑枝,26.18602985
CHP03838,水飞蓟,26.10660241
CHP02863,木瓜,25.93561964
CHP00678,地骨皮,25.86186656
CHP02638,芒果,25.77399141
CHP04054,唐松草,25.64233072
CHP01161,高良姜,25.61016132
CHP01096,浮萍,25.59320895
CHP05360,芸香,25.44628187
CHP06090,茯苓,25.38581509
CHP01682,黄精,25.20911447
CHP04095,天南星,25.16988425
CHP01340,海南粗榧,24.9904138
CHP01357,何首乌,24.941207079999998
CHP03134,蒲公英,24.79702253
CHP03179,千金藤,24.761211
CHP02357,凌霄花,24.552410039999998
CHP00315,草豆蔻,24.26573367
CHP04473,细葛缕子,24.00458905
CHP05515,重楼,23.96070423
CHP03383,三尖杉,23.89126339
CHP01180,藁本,23.68118737
CHP05682,紫檀,23.61580425
CHP01608,化橘红,23.50043087
CHP04828,旋覆花,23.36068414
CHP05261,鱼藤,23.32619227
CHP01272,贯叶连翘,23.22111787
CHP06001,麝香,23.0664609
CHP03373,三白草,23.05849174
CHP02122,苦楝子,22.89457488
CHP03673,肾茶,22.86268023
CHP00206,半边苏,22.82809426
CHP05301,鸢尾,22.59855666
CHP02541,葎草,22.00962649
CHP02412,龙舌兰,21.6107713
CHP03429,桑椹,21.59702645
CHP02657,猫眼草,21.45907807
CHP00660,稻草,21.43154616
CHP03111,平贝母,21.42621313
CHP00872,独一味,21.41348786
CHP01486,红藤,21.3221243
CHP02391,六棱菊,21.2347689
CHP04764,缬草,21.0517333
