rank,CHP_ID,Chinese_herbal_pieces,total_score,total_compounds,effective_count,high_quality_count,ultra_high_count
1097,CHP03589,山小橘,3.40189674,5.0,5.0,0.0,0.0
1098,CHP00294,菜蓟,3.39662196,4.0,4.0,3.0,2.0
1099,CHP04459,西洋接骨木,3.3945836,4.0,4.0,3.0,0.0
1100,CHP04374,无患子皮,3.38859463,5.0,5.0,2.0,0.0
1101,CHP04119,甜瓜蒂,3.38739816,4.0,4.0,3.0,0.0
1102,CHP00463,楤木,3.3873540699999998,4.0,4.0,3.0,0.0
1103,CHP03487,山橙,3.3784154900000005,6.0,6.0,2.0,1.0
1104,CHP01797,鸡嗉子,3.3775623599999998,4.0,4.0,3.0,2.0
1105,CHP02477,露蕊乌头,3.37722986,5.0,5.0,2.0,0.0
1106,CHP01990,景天,3.35833177,5.0,5.0,1.0,0.0
1107,CHP03364,瑞香根,3.33693865,4.0,4.0,2.0,2.0
1108,CHP03545,山莨菪,3.3275472400000004,5.0,5.0,2.0,0.0
1109,CHP00828,冬珊瑚,3.32657759,5.0,5.0,1.0,1.0
1110,CHP01847,假连翘,3.3252869099999995,6.0,6.0,2.0,1.0
1111,CHP02696,毛连菜,3.31714257,4.0,4.0,2.0,2.0
1112,CHP03754,石韦,3.31696543,4.0,4.0,3.0,1.0
1113,CHP02685,毛诃子,3.30889225,5.0,5.0,2.0,0.0
1114,CHP02470,路边姜,3.2947160600000003,5.0,5.0,0.0,0.0
1115,CHP01846,假蒟子,3.273226,8.0,8.0,1.0,0.0
1116,CHP01167,高山黄华,3.26211199,6.0,6.0,1.0,0.0
1117,CHP03991,粟米,3.26125088,5.0,5.0,1.0,0.0
1118,CHP04761,斜基粗叶木,3.2557546399999997,4.0,4.0,2.0,1.0
1119,CHP04839,雪莲花,3.25370861,4.0,4.0,2.0,1.0
1120,CHP02951,南烛,3.2265667000000002,4.0,4.0,2.0,2.0
1121,CHP01339,海韭菜,3.2244924299999997,4.0,4.0,2.0,0.0
1122,CHP02104,苦瓜,3.2115303699999997,4.0,4.0,3.0,0.0
1123,CHP03751,石刷把,3.21089814,4.0,4.0,3.0,0.0
1124,CHP03853,水黄连,3.20838508,6.0,6.0,1.0,1.0
1125,CHP03162,漆大姑,3.2083749499999996,4.0,4.0,3.0,1.0
1126,CHP01008,防风草,3.2082527599999997,4.0,4.0,3.0,0.0
1127,CHP01759,茴香茎叶,3.20600234,4.0,4.0,2.0,0.0
1128,CHP02947,南天竹叶,3.2035834100000002,4.0,4.0,3.0,0.0
1129,CHP02821,缅枣,3.18889745,4.0,4.0,2.0,0.0
1130,CHP03596,山樱桃,3.1828437499999995,4.0,4.0,2.0,2.0
1131,CHP05975,青蛙,3.18154098,4.0,4.0,3.0,1.0
1132,CHP05295,芋头,3.16619105,4.0,4.0,1.0,1.0
1133,CHP01040,粪箕笃,3.16223335,4.0,4.0,2.0,0.0
1134,CHP00079,白果槲寄生,3.15369174,4.0,4.0,2.0,1.0
1135,CHP02296,痢止蒿,3.14429271,4.0,4.0,2.0,0.0
1136,CHP05780,蟾皮,3.13508844,4.0,4.0,2.0,1.0
1137,CHP03215,茄子根,3.12674522,4.0,4.0,2.0,0.0
1138,CHP02785,猕猴桃根,3.12514241,5.0,5.0,1.0,0.0
1139,CHP02942,南酸枣,3.12404613,4.0,4.0,1.0,0.0
1140,CHP01716,黄皮叶,3.1081056699999996,4.0,4.0,2.0,2.0
1141,CHP04538,藓生马先蒿,3.10426404,4.0,4.0,2.0,0.0
1142,CHP05139,一枝蒿,3.09564489,4.0,4.0,3.0,0.0
1143,CHP03177,千解草,3.0944165,4.0,4.0,2.0,0.0
1144,CHP02769,美人蕉,3.09287965,4.0,4.0,2.0,0.0
1145,CHP03670,神黄豆,3.07814786,4.0,4.0,2.0,0.0
1146,CHP04422,五桠果,3.0692958299999997,4.0,4.0,2.0,2.0
1147,CHP03893,水松,3.06786204,4.0,4.0,1.0,0.0
1148,CHP02178,莱菔,3.0651583199999997,5.0,5.0,1.0,1.0
